 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Unidade da Federação";"1992/Mar";"1992/Abr";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Mar";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Mar";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2001/Dez";"2002/Jan";"2002/Fev";"2002/Mar";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Fev";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Ago";"2003/Out";"2003/Nov";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;549;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305;-;31;-;84;273;1249;3486;7517;17259;42088;126258;71168;78628;82607;83204;78976;79395;77819;75511;72056;71283;64870;112578;64284;79115;78214;80735;82115;80659;76956;80532;82734;77095;77852;79735;71804;95549;83115;87458;81414;82262;84071;82379;78756;78533;74960;80913;79795;94840;84746;85477;84840;81659;83126;79224;77031;74615;70658;73674;73444;81260;76953;79080;85369;84730;81207;71884;74542;73202;69141;77704;69453;77059;85570;78881;77997;79402;78762;75431;78260;71099;69873;74985;80595;77741;85075;86919;75902;81046;79952;74774;76347;75756;73405;71474;69088;80528;80039;85427;79620;82517;81374;80133;75618;71256;72153;78802;75519;83957;83979;85941;80058;81026;79995;73188;77304;72280;71427;76674;72599;85008;82975;86981;83425;80208;85172;75282;77962;77559;73931;82242;72728;87302;86577;88402;84393;86788;90057;82905;88016;82791;80739;85670;77842;86871;87825;94291;82944;84559;81868;86532;88509;82425;82301;84063;80685;72917;69887;62502;69608;76502;74985;79138;79740;73905;72054;62553;44269;19841;12639142
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;5;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;61;-;-;91;42;-;31;-;-;-;-;-;649;-;-;-;55;-;51;978;2339;6642;14745;37782;202753;87969;94935;100767;105310;93037;103600;96592;94085;91108;84953;77415;91022;82513;106032;102354;103504;98244;104588;104133;97576;115367;97592;91182;100764;90320;103903;103055;107831;95831;100923;99488;98820;100717;95921;92180;92568;95157;102404;91590;100063;92217;91498;94018;93793;93355;89618;85559;93228;82921;94281;94548;102746;88043;92610;96369;88621;91552;88701;81623;90945;85956;94197;96385;103093;91901;98542;94815;88598;88436;85941;84150;91142;79647;87699;91965;91587;84646;91987;89182;87988;89386;84932;80198;83575;70306;88069;88545;89478;79786;85882;85242;82872;86311;78031;75376;82273;79689;87546;81932;88995;81018;83146;85818;80882;75951;75626;72282;79877;76435;90012;86389;92943;87665;88454;93024;88379;89967;85954;82178;89715;82479;89794;89906;90115;91015;88152;88845;84085;84699;79222;82645;86156;81020;91070;96084;92734;84614;92771;89565;85914;89668;82794;79455;84287;77917;72311;61750;65107;70562;74389;73556;68941;67027;69387;76663;74973;52610;30179;14172471
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;212;-;-;-;-;336;-;-;-;-;-;-;-;19;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;306;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;434;1928;2235;-;266;-;355;1524;4423;11905;31794;65578;143637;883107;219228;275832;247227;256419;223463;233807;235658;225006;219048;204777;197517;959714;203040;237991;238869;236959;226581;236442;236074;229569;226973;213811;214204;1160188;212239;252651;255947;347174;233986;231541;270266;262285;249505;228568;256451;337212;222841;250586;248297;254199;231335;265823;256772;241925;248164;247534;231382;290337;222792;247244;244956;251000;235326;256622;261530;238762;253821;229419;216848;256348;217878;247046;258395;261008;249336;253986;251585;241700;259629;239623;228060;256751;231468;247932;254237;262233;248577;264109;259853;256423;259037;244428;237691;253607;231035;261396;255702;266774;243357;260336;256482;236926;249729;243802;237144;250823;243158;261015;250414;257778;251491;244571;256584;236867;243993;234391;226156;247894;224883;263304;250929;268690;255115;255936;266344;253173;262285;238485;233048;261978;226682;250879;255957;266951;254225;256679;263052;242118;261116;243913;238222;257768;237686;257626;257550;277297;253142;268472;269354;263285;268853;255816;239842;260107;235409;221683;179939;195463;205917;226468;238733;233156;240078;223727;222267;214008;165288;98159;41341991
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;30;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;147;1153;1532;3758;8227;20695;267984;68979;81610;92254;82936;86853;80958;77635;75021;76275;74725;68552;77383;65132;90879;84484;86834;83274;81903;91300;88873;82656;81973;75029;82226;67360;86065;81573;88212;72421;77764;83034;79401;79525;77420;70418;73753;77310;86294;73224;89932;83079;81661;92058;75421;83716;75626;71587;81146;71641;85392;77092;79912;72406;79987;76542;72429;76604;72211;68647;78350;66934;79689;82264;80945;76550;83389;75299;73439;78381;69883;60695;220859;69567;75485;76980;80172;76585;78277;76685;79947;77226;76988;72962;73167;60726;83168;80024;72654;73410;78648;72514;69473;72700;70088;66308;72150;66936;73830;69606;74949;70563;73914;75846;69757;71387;62046;62627;72498;62252;73262;68228;78246;70222;73231;76291;69901;73817;71097;67911;74284;63188;72291;74348;79189;69523;71924;73874;66160;75771;68180;62060;87778;70517;70009;74332;79300;70135;78477;79004;74187;80254;73241;73095;78147;69574;67917;56462;51340;60109;63622;63979;67911;72278;67730;63519;57621;43933;23774;12192230
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;31;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;305;-;258;-;-;87;655;782;1556;6168;22855;55428;39858;42845;46361;43423;41624;38082;39498;36283;36347;31759;31236;37158;35884;43970;39808;41154;38266;41987;38646;39077;38987;35531;32890;40975;35413;44102;41222;46032;38000;41551;44324;41931;42995;40786;42123;43320;36822;39713;39002;41777;36796;40153;38157;40198;41608;40808;38097;42838;39380;42860;39768;41813;37555;36500;35349;35072;42446;33298;30553;37288;32439;35823;36890;35732;34625;34254;35374;32843;33977;32515;30093;35796;30426;33197;32005;33914;31382;33993;35731;37599;33745;34148;30148;39033;35433;39848;39807;44917;37610;41299;43488;42279;43724;43461;35506;40417;40962;44198;44450;43983;44288;43629;35316;45703;39756;38414;36038;41449;38533;43551;42201;45344;43681;44682;45659;41570;45744;41585;37766;47108;40894;46518;46047;47100;44853;44541;44199;42252;51155;42661;40725;45890;42356;44651;46440;49195;45029;46572;46338;45711;48919;44581;44867;45933;43846;41356;36869;34992;36671;42280;42834;42884;44298;41327;35143;24227;14145;7169;6344091
"29 Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;19;-;-;-;4;-;-;-;-;-;-;-;6;-;-;-;30;-;-;-;-;-;958;1873;-;-;-;219;651;1862;4350;11827;35647;106317;888977;259180;308306;324131;311234;285837;767058;311767;296177;295113;262224;255996;293940;269423;322825;313183;312274;306177;309842;312633;311963;306945;301301;287292;307902;286298;337587;315796;339274;294748;311311;319956;306107;319105;307354;293992;329145;303582;331598;319439;321151;299152;309849;435866;318867;345878;307041;298579;324752;300011;339694;316450;336396;312108;329579;324113;300532;311702;319982;339376;309521;277159;313049;331026;329043;305171;330541;328163;307723;319782;293309;287279;324523;290831;312090;323797;320188;302640;324450;322964;316468;323694;296484;288265;312089;278486;327494;317455;326261;314408;341269;327855;317657;318085;373572;290244;309914;310966;344822;322082;323055;313441;326012;330540;317943;310026;295320;285205;323917;291701;334295;309781;336062;309517;326376;335469;310097;328960;311907;290588;347950;306245;321100;325347;332158;307052;331536;327809;307832;327779;306766;293574;321746;296629;318991;323397;346561;309882;341441;330575;315385;332531;304691;295632;319300;305751;287150;227711;233696;246364;269357;275774;280624;293941;271403;255173;226648;163139;84486;50226024
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62;145;-;30;-;-;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;30;-;-;-;-;31;-;-;-;-;154;-;31;-;19;-;-;-;-;31;-;-;4835;-;-;-;-;91;-;-;93;-;-;-;1347;1220;-;31;314;552;1373;7607;18851;61982;135134;294509;2963165;482747;540973;523046;515509;502420;536407;511043;512806;519227;479869;523147;623340;458970;552494;498022;520297;503591;538541;521787;504464;510288;486049;472972;494097;469303;544236;519014;528366;500102;518719;543399;516514;497059;488893;471023;552933;485342;539459;509404;540220;512218;522312;538356;512725;529839;506202;487556;614165;495828;548052;514948;560136;532011;553927;569876;507765;545546;495329;490399;537056;478416;603656;555604;560643;531704;553460;548443;524544;538991;495986;486479;547212;493013;538590;539265;554514;530006;545011;545876;533513;551625;505932;500843;507298;470637;555727;547781;544500;526445;527164;520740;504304;517911;497195;487803;501180;485498;538196;524476;542283;521016;515658;534346;500551;506794;472778;474149;510895;458644;556771;493852;553345;523835;525737;537554;507573;521329;495522;480034;522315;467036;536986;531711;546743;527298;552751;557147;514636;542147;512683;499486;539177;486631;535534;549563;568478;532236;562957;547323;526801;547039;511392;508625;534530;491464;463683;395113;420133;438947;476961;475165;471612;489783;461478;443747;406938;309156;185406;84565725
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;373;305;-;254;-;-;325;583;3235;10110;22670;50293;233621;84236;93023;103116;91571;88024;93911;90312;88314;86069;84339;80661;91411;80832;91719;91235;97567;91198;93722;99376;90416;94065;86898;83911;89467;78842;97940;92832;96226;84776;92324;99854;113660;95446;91138;91296;97196;86877;99626;98566;99293;95390;95501;104394;94228;93115;91483;89693;91276;87144;96008;90821;97302;93258;100387;99596;98069;99583;91410;89074;94376;84023;96645;98703;96719;91617;97655;96919;92226;98366;95883;90068;96146;90966;96786;95240;101800;94856;99731;105117;104217;99721;95879;101239;97710;89424;106868;97004;99827;99721;102052;99289;94364;98491;93362;92759;99010;93503;106316;102234;108178;100672;104817;99893;98748;102195;96532;97064;99599;89235;106311;102146;103491;97366;100034;103503;99962;103235;96027;94260;103241;92126;102224;102690;106156;96103;101329;99912;96768;101060;97997;96394;97702;90572;101801;99812;107012;98337;104111;105933;100431;105813;95559;95172;102784;98570;92769;77518;83298;86066;96041;93055;93761;97678;101344;106876;89113;61067;29513;15398655
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61;60;58;-;31;-;-;30;-;-;31;-;-;-;-;-;31;-;123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;30;-;-;-;-;-;184;-;-;-;-;-;-;-;-;-;62;-;90;31;23;-;30;91;-;30;-;-;-;-;2030;1255;311;216;624;441;2696;7197;14296;35722;73449;147165;5249572;715204;467648;513821;467582;472939;447877;442729;418829;449348;398840;405920;663006;374941;466898;440174;465611;522110;460878;446856;415315;423160;438979;387017;537876;405207;444036;1024872;479105;431043;465706;466527;458619;434910;400520;413004;867099;602550;463615;451931;458320;433207;434627;447039;428754;429910;380979;373055;683597;374918;464182;419120;461169;423491;434396;422983;399436;423921;389647;363395;1247455;393850;429421;473062;492416;436524;450137;465590;430126;435249;374900;364422;556399;388112;431822;394838;421442;447619;422438;417883;429509;416288;399516;474781;439638;377382;434338;411500;467851;469774;503493;434125;444924;430184;391966;367408;446248;385590;474090;405168;408708;399452;636647;462750;383363;406086;375224;406414;450735;387233;409845;387205;431972;399183;412391;421432;385411;413346;379282;365513;419005;364207;413309;408147;429661;413657;407365;430026;378889;401242;386393;357998;432910;400185;409100;410571;440506;426193;434109;425839;402524;423585;386085;373462;421860;362673;332375;296713;324132;334766;372215;371825;363120;370254;347740;333431;314478;216077;130924;74301669
"35 São Paulo";1253;388;488;970;1216;608;608;488;730;608;-;596;-;488;457;488;1187;608;1185;1065;503;93;22859;44992;42110;577;-;2762;2769;1096;1096;608;1904;629;3893;1503;699;584;30;584;583;715;2481;1185;519;62;621;31;6291;11562;565;53;2158;608;-;608;1402;2858;362;1160;666;-;577;577;1762;1393;608;608;1111;-;1065;675;639;608;31;2227;27;1854;1921;2250;3404;494;608;1657;1646;2401;1762;2308;608;1154;2633;577;8;289;368;7416;823;390;1793;1277;228;1793;2770;2399;1330;1185;681;2598;1241;-;608;-;-;289;3085;2489;1747;608;532;2949;4074;11326;29405;86020;210752;492359;19006438;1365580;1166416;1200065;1183741;1154816;1202887;1201882;1187217;1208050;1237969;1025751;1158742;1027379;1255745;1319279;1214341;1197323;1205037;1175654;1197424;1177611;1198521;1071924;1193467;1070830;1296912;1199090;1264530;1218647;1211809;1474388;1223292;1407250;1249125;1097697;1241930;1116925;1215855;1164727;1208346;1224026;1208614;1255038;1197876;1184663;1130099;1060141;1179453;1102646;1212847;1146545;1216577;1194949;1190541;1191880;1120510;1559281;1090448;1032054;1225612;1070980;1173389;1171487;1178879;1123968;1159374;1154992;1143730;1505734;1117948;1041421;1321750;1113019;1126926;1130882;1184936;1141571;1283393;1345586;1329574;1143930;1041376;1033967;1187159;1006845;1175928;1130596;1156170;1199666;1122405;1133720;1076044;1085540;1022502;1010818;1128447;1013117;1133080;1124856;1111518;1101392;1066748;1098243;1039831;1060294;1017494;961438;1094210;960451;1120369;1032665;1108152;1079370;1061240;1261186;1022343;1119070;1025624;977778;1084869;955652;1074753;1074893;1098749;1059579;1085729;1087907;1024858;1143064;1021981;1003355;1133834;995364;1130243;1083504;1135493;1051009;1112335;1137612;1054861;1097362;1022142;995492;1134812;987599;945568;820555;931165;955597;1014968;997755;977218;1004761;961614;940960;944664;756978;449528;197559144
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86;-;-;-;2;-;-;-;52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;38;-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;9;-;1591;30;155;-;94;239;1165;4118;8642;26418;59678;154405;475791;291194;321046;322034;328754;319109;338751;314251;318432;326427;294203;292542;304671;280727;344237;314579;333189;325015;339308;328883;320799;324755;314236;307922;323930;298608;365340;331502;337757;327560;336429;346569;335979;327161;325884;310219;327244;310222;341689;314980;335713;317685;318996;334914;314949;321325;318865;289492;316602;292459;332343;325184;343696;316062;334267;330383;299272;330230;303889;272227;312255;280195;314862;329980;316955;307017;323386;325439;307693;322476;294636;268522;305957;288294;303537;307717;319081;302224;318368;302833;306040;322544;286904;275824;297506;271456;324951;308275;309361;303673;316057;305092;300817;306164;298474;280643;299702;285458;329164;312104;321493;318706;322594;316492;310959;302056;287400;276349;302094;277702;336130;303957;332509;321293;322897;326602;316930;321241;310023;282055;314901;289911;333861;333237;336298;340441;333961;340737;313607;335062;319783;292534;320894;295228;322088;328775;337462;316525;331865;319520;313849;325497;301709;289634;316041;300537;282968;259439;259622;260760;272865;270432;287128;292479;291476;279639;249584;187380;93325;49639452
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;305;-;-;-;79;1236;4505;6627;20895;42116;90889;865166;157798;169156;173494;175897;175954;177584;172797;172251;178351;158500;159481;178890;153437;182180;168985;173291;178113;194213;182882;170806;178944;166104;155775;167315;163069;183050;169707;174986;178957;176124;181222;176059;172413;171316;153605;173978;171087;189971;174567;186786;182769;182136;191155;175331;181253;170215;155067;176403;164808;190088;179001;192739;181036;187296;195469;171959;188173;165918;149322;189297;157033;173251;189069;188673;184181;189910;186832;178233;194838;174297;150867;181008;168010;186423;183282;188626;183171;194279;192306;185438;186584;175896;163700;179521;163050;188128;180650;190021;192352;191589;184002;179092;184582;178175;157856;191859;176283;204066;181034;193707;217863;375530;193948;187416;182745;177670;155228;178132;167284;195850;176154;202556;190560;192633;194714;179831;187143;182031;159025;180390;165581;191579;192123;194729;192016;203415;199004;185171;195614;185058;165595;186836;170716;189301;191223;200181;186491;198785;186780;189543;194445;175294;171806;185030;173505;157716;139878;144281;153853;171535;167392;165558;177073;180426;165707;143279;109806;51044;29266346
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12;30;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;8;-;-;-;-;-;-;-;393;879;6754;17342;46137;91428;200225;362998;321853;352777;349150;346966;356017;376413;361333;358041;365308;334353;319198;352892;302021;368720;353123;366046;363944;394102;378533;361675;378259;357873;341666;359919;324481;381762;363830;376541;365212;383869;394414;368120;367599;353244;321194;357476;330593;378151;358965;380975;377862;379644;377809;364518;369257;356529;329971;369547;335021;384295;359537;395811;383036;393854;405223;352999;376690;353400;318107;380028;332951;376613;386525;392122;388920;421902;402849;385528;414696;380497;349893;395875;352199;391327;392845;404632;398795;424209;410185;402860;410508;379755;358985;385559;342892;406615;395557;400643;397619;414566;394158;384456;392347;374223;350797;372688;351736;389507;380270;399710;396865;399153;410643;384623;388533;359198;344597;372427;331485;402652;363733;406464;404340;395124;405765;373343;383956;366240;336888;381246;330121;385494;386564;393580;390688;412435;416496;376197;401324;368242;338154;384252;342214;381071;387347;410318;399290;418345;409172;388772;397685;368256;351501;393155;340585;313773;276302;306254;313892;331565;340687;347499;367375;354452;334959;323001;241615;100644;59034582
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;258;1662;3464;8687;16099;30804;64796;56057;62219;60696;64382;64199;64884;61052;63433;64811;58869;50590;58609;54116;67755;63313;63220;62921;66473;68622;62946;62346;60532;56070;64607;62016;74183;64892;66990;63452;63258;67580;65249;66412;62371;55220;61494;60373;68817;65186;65375;62360;63311;61475;61331;59990;58352;55234;62295;61217;69108;63478;69978;66479;66858;67761;62294;64005;60003;53541;65483;59895;69019;70997;68344;65048;68137;66707;65748;67334;60881;57792;64499;58174;66503;64875;71308;67790;66188;70402;65197;66779;62465;59624;63207;58335;73698;69016;67725;66012;66185;65317;63363;63332;60824;58102;65085;67002;70414;67814;69946;68358;66315;67549;64531;63007;61610;56414;66611;60456;73802;66579;71691;67735;66880;67699;61064;64428;62210;59246;65245;61144;67657;68958;69679;67895;68025;70134;64737;65989;63365;61023;67567;63409;68303;70796;72685;68790;68472;70615;69364;68728;67256;64573;68621;65238;63112;52548;56458;57972;64712;65926;66319;67366;60004;56340;42766;27941;9094;10190007
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1018;548;-;-;-;129;87;975;2404;8089;14266;36259;62821;57549;67483;65855;64967;64240;65364;61017;60965;61796;57385;53730;61744;57750;71185;69525;68770;65563;65951;69123;64059;63465;66877;64750;68449;63568;72936;67831;71898;65402;66629;67430;68010;66525;64362;60874;66953;58218;66426;64022;66909;66947;63922;67056;65559;70685;65158;61008;65765;60869;70285;68266;70990;66186;69642;70241;65903;75095;65470;61466;67666;60423;70061;71474;70786;68113;67616;67781;64898;73489;68251;60904;67957;63002;71567;71843;73848;69571;68791;68376;68160;75760;69298;61733;66962;61485;76473;72571;74182;69910;72289;74023;69386;77205;71710;65403;70838;69699;76499;73762;76424;74139;71583;76243;74380;74998;69073;65596;73260;66901;80041;74445;74561;72702;74675;74120;70589;75827;69519;64999;71758;64560;76438;74754;76370;72970;74582;73633;71872;76141;73058;67784;75024;68000;74496;75505;80770;74131;74543;76810;72617;78074;71534;62615;75640;66211;61227;50816;55641;56309;63833;62659;64774;66045;60820;57969;54374;40727;24653;10850241
