,UF,regiao,data,perm_media
109,Acre,Norte,2008-06-01,4.3
110,Amazonas,Norte,2008-06-01,4.7
111,Roraima,Norte,2008-06-01,4.3
112,Pará,Norte,2008-06-01,3.8
113,Amapá,Norte,2008-06-01,4.8
114,Tocantins,Norte,2008-06-01,4.6
115,Maranhão,Nordeste,2008-06-01,4.7
116,Piauí,Nordeste,2008-06-01,4.5
117,Ceará,Nordeste,2008-06-01,5.1
118,Rio Grande do Norte,Nordeste,2008-06-01,5.6
119,Paraíba,Nordeste,2008-06-01,5.0
120,Pernambuco,Nordeste,2008-06-01,5.5
121,Alagoas,Nordeste,2008-06-01,5.4
122,Sergipe,Nordeste,2008-06-01,4.8
123,Bahia,Nordeste,2008-06-01,4.2
124,Minas Gerais,Sudeste,2008-06-01,5.4
125,Espírito Santo,Sudeste,2008-06-01,5.7
126,Rio de Janeiro,Sudeste,2008-06-01,8.6
127,São Paulo,Sudeste,2008-06-01,6.2
128,Paraná,Sul,2008-06-01,5.1
129,Santa Catarina,Sul,2008-06-01,5.4
130,Rio Grande do Sul,Sul,2008-06-01,5.8
131,Mato Grosso do Sul,Centro-Oeste,2008-06-01,4.8
132,Mato Grosso,Centro-Oeste,2008-06-01,4.3
133,Goiás,Centro-Oeste,2008-06-01,5.3
134,Distrito Federal,Centro-Oeste,2008-06-01,6.3
135,Rondônia,Norte,2008-07-01,3.9
136,Acre,Norte,2008-07-01,4.2
137,Amazonas,Norte,2008-07-01,4.7
138,Roraima,Norte,2008-07-01,5.2
139,Pará,Norte,2008-07-01,3.8
140,Amapá,Norte,2008-07-01,4.7
141,Tocantins,Norte,2008-07-01,4.7
142,Maranhão,Nordeste,2008-07-01,4.8
143,Piauí,Nordeste,2008-07-01,4.5
144,Ceará,Nordeste,2008-07-01,4.9
145,Rio Grande do Norte,Nordeste,2008-07-01,5.8
146,Paraíba,Nordeste,2008-07-01,5.4
147,Pernambuco,Nordeste,2008-07-01,5.5
148,Alagoas,Nordeste,2008-07-01,5.5
149,Sergipe,Nordeste,2008-07-01,4.4
150,Bahia,Nordeste,2008-07-01,10.1
151,Minas Gerais,Sudeste,2008-07-01,5.6
152,Espírito Santo,Sudeste,2008-07-01,6.2
153,Rio de Janeiro,Sudeste,2008-07-01,8.1
154,São Paulo,Sudeste,2008-07-01,6.3
155,Paraná,Sul,2008-07-01,5.2
156,Santa Catarina,Sul,2008-07-01,5.4
157,Rio Grande do Sul,Sul,2008-07-01,5.8
158,Mato Grosso do Sul,Centro-Oeste,2008-07-01,4.8
159,Mato Grosso,Centro-Oeste,2008-07-01,4.3
160,Goiás,Centro-Oeste,2008-07-01,5.2
161,Distrito Federal,Centro-Oeste,2008-07-01,6.4
162,Rondônia,Norte,2008-08-01,3.6
163,Acre,Norte,2008-08-01,4.0
164,Amazonas,Norte,2008-08-01,4.5
165,Roraima,Norte,2008-08-01,4.7
166,Pará,Norte,2008-08-01,3.7
167,Amapá,Norte,2008-08-01,4.8
168,Tocantins,Norte,2008-08-01,4.4
169,Maranhão,Nordeste,2008-08-01,4.7
170,Piauí,Nordeste,2008-08-01,4.4
171,Ceará,Nordeste,2008-08-01,5.1
172,Rio Grande do Norte,Nordeste,2008-08-01,5.9
173,Paraíba,Nordeste,2008-08-01,5.1
174,Pernambuco,Nordeste,2008-08-01,5.6
175,Alagoas,Nordeste,2008-08-01,5.3
176,Sergipe,Nordeste,2008-08-01,4.8
177,Bahia,Nordeste,2008-08-01,4.1
178,Minas Gerais,Sudeste,2008-08-01,5.5
179,Espírito Santo,Sudeste,2008-08-01,5.8
180,Rio de Janeiro,Sudeste,2008-08-01,8.2
181,São Paulo,Sudeste,2008-08-01,6.4
182,Paraná,Sul,2008-08-01,5.1
183,Santa Catarina,Sul,2008-08-01,5.6
184,Rio Grande do Sul,Sul,2008-08-01,5.9
185,Mato Grosso do Sul,Centro-Oeste,2008-08-01,4.8
186,Mato Grosso,Centro-Oeste,2008-08-01,4.2
187,Goiás,Centro-Oeste,2008-08-01,4.9
188,Distrito Federal,Centro-Oeste,2008-08-01,6.2
189,Rondônia,Norte,2008-09-01,3.6
190,Acre,Norte,2008-09-01,4.2
191,Amazonas,Norte,2008-09-01,4.6
192,Roraima,Norte,2008-09-01,5.0
193,Pará,Norte,2008-09-01,3.6
194,Amapá,Norte,2008-09-01,4.7
195,Tocantins,Norte,2008-09-01,4.3
196,Maranhão,Nordeste,2008-09-01,4.4
197,Piauí,Nordeste,2008-09-01,4.1
198,Ceará,Nordeste,2008-09-01,5.0
199,Rio Grande do Norte,Nordeste,2008-09-01,5.6
200,Paraíba,Nordeste,2008-09-01,5.1
201,Pernambuco,Nordeste,2008-09-01,5.5
202,Alagoas,Nordeste,2008-09-01,5.1
203,Sergipe,Nordeste,2008-09-01,4.7
204,Bahia,Nordeste,2008-09-01,4.0
205,Minas Gerais,Sudeste,2008-09-01,5.4
206,Espírito Santo,Sudeste,2008-09-01,5.6
207,Rio de Janeiro,Sudeste,2008-09-01,7.8
208,São Paulo,Sudeste,2008-09-01,6.2
209,Paraná,Sul,2008-09-01,5.0
210,Santa Catarina,Sul,2008-09-01,5.3
211,Rio Grande do Sul,Sul,2008-09-01,5.8
212,Mato Grosso do Sul,Centro-Oeste,2008-09-01,4.8
213,Mato Grosso,Centro-Oeste,2008-09-01,4.1
214,Goiás,Centro-Oeste,2008-09-01,4.6
215,Distrito Federal,Centro-Oeste,2008-09-01,6.1
216,Rondônia,Norte,2008-10-01,3.5
217,Acre,Norte,2008-10-01,4.4
218,Amazonas,Norte,2008-10-01,4.6
219,Roraima,Norte,2008-10-01,4.7
220,Pará,Norte,2008-10-01,3.7
221,Amapá,Norte,2008-10-01,4.9
222,Tocantins,Norte,2008-10-01,4.6
223,Maranhão,Nordeste,2008-10-01,5.0
224,Piauí,Nordeste,2008-10-01,4.4
225,Ceará,Nordeste,2008-10-01,5.1
226,Rio Grande do Norte,Nordeste,2008-10-01,5.7
227,Paraíba,Nordeste,2008-10-01,5.2
228,Pernambuco,Nordeste,2008-10-01,5.4
229,Alagoas,Nordeste,2008-10-01,5.3
230,Sergipe,Nordeste,2008-10-01,4.7
231,Bahia,Nordeste,2008-10-01,4.2
232,Minas Gerais,Sudeste,2008-10-01,5.3
233,Espírito Santo,Sudeste,2008-10-01,5.4
234,Rio de Janeiro,Sudeste,2008-10-01,8.4
235,São Paulo,Sudeste,2008-10-01,6.3
236,Paraná,Sul,2008-10-01,5.1
237,Santa Catarina,Sul,2008-10-01,5.5
238,Rio Grande do Sul,Sul,2008-10-01,5.9
239,Mato Grosso do Sul,Centro-Oeste,2008-10-01,4.9
240,Mato Grosso,Centro-Oeste,2008-10-01,4.3
