,UF,regiao,data,perm_media
547,Maranhão,Nordeste,2009-10-01,4.4
548,Piauí,Nordeste,2009-10-01,4.3
549,Ceará,Nordeste,2009-10-01,5.0
550,Rio Grande do Norte,Nordeste,2009-10-01,5.5
551,Paraíba,Nordeste,2009-10-01,5.8
552,Pernambuco,Nordeste,2009-10-01,5.3
553,Alagoas,Nordeste,2009-10-01,5.3
554,Sergipe,Nordeste,2009-10-01,5.0
555,Bahia,Nordeste,2009-10-01,4.2
556,Minas Gerais,Sudeste,2009-10-01,5.6
557,Espírito Santo,Sudeste,2009-10-01,6.0
558,Rio de Janeiro,Sudeste,2009-10-01,7.8
559,São Paulo,Sudeste,2009-10-01,6.1
560,Paraná,Sul,2009-10-01,5.0
561,Santa Catarina,Sul,2009-10-01,5.4
562,Rio Grande do Sul,Sul,2009-10-01,6.0
563,Mato Grosso do Sul,Centro-Oeste,2009-10-01,4.7
564,Mato Grosso,Centro-Oeste,2009-10-01,4.5
565,Goiás,Centro-Oeste,2009-10-01,5.5
566,Distrito Federal,Centro-Oeste,2009-10-01,6.6
567,Rondônia,Norte,2009-11-01,3.6
568,Acre,Norte,2009-11-01,4.4
569,Amazonas,Norte,2009-11-01,4.7
570,Roraima,Norte,2009-11-01,4.9
571,Pará,Norte,2009-11-01,3.6
572,Amapá,Norte,2009-11-01,4.6
573,Tocantins,Norte,2009-11-01,4.5
574,Maranhão,Nordeste,2009-11-01,4.4
575,Piauí,Nordeste,2009-11-01,4.1
576,Ceará,Nordeste,2009-11-01,5.0
577,Rio Grande do Norte,Nordeste,2009-11-01,5.2
578,Paraíba,Nordeste,2009-11-01,4.9
579,Pernambuco,Nordeste,2009-11-01,5.2
580,Alagoas,Nordeste,2009-11-01,5.5
581,Sergipe,Nordeste,2009-11-01,5.0
582,Bahia,Nordeste,2009-11-01,4.1
583,Minas Gerais,Sudeste,2009-11-01,5.4
584,Espírito Santo,Sudeste,2009-11-01,5.5
585,Rio de Janeiro,Sudeste,2009-11-01,8.3
586,São Paulo,Sudeste,2009-11-01,6.5
587,Paraná,Sul,2009-11-01,5.0
588,Santa Catarina,Sul,2009-11-01,5.2
589,Rio Grande do Sul,Sul,2009-11-01,5.9
590,Mato Grosso do Sul,Centro-Oeste,2009-11-01,4.5
591,Mato Grosso,Centro-Oeste,2009-11-01,4.5
592,Goiás,Centro-Oeste,2009-11-01,4.9
593,Distrito Federal,Centro-Oeste,2009-11-01,6.5
594,Rondônia,Norte,2009-12-01,3.4
595,Acre,Norte,2009-12-01,4.2
596,Amazonas,Norte,2009-12-01,4.4
597,Roraima,Norte,2009-12-01,4.9
598,Pará,Norte,2009-12-01,3.6
599,Amapá,Norte,2009-12-01,4.4
600,Tocantins,Norte,2009-12-01,4.4
601,Maranhão,Nordeste,2009-12-01,4.4
602,Piauí,Nordeste,2009-12-01,4.2
603,Ceará,Nordeste,2009-12-01,5.0
604,Rio Grande do Norte,Nordeste,2009-12-01,5.7
605,Paraíba,Nordeste,2009-12-01,4.9
606,Pernambuco,Nordeste,2009-12-01,5.5
607,Alagoas,Nordeste,2009-12-01,5.5
608,Sergipe,Nordeste,2009-12-01,5.0
609,Bahia,Nordeste,2009-12-01,4.2
610,Minas Gerais,Sudeste,2009-12-01,5.5
611,Espírito Santo,Sudeste,2009-12-01,5.6
612,Rio de Janeiro,Sudeste,2009-12-01,7.7
613,São Paulo,Sudeste,2009-12-01,6.2
614,Paraná,Sul,2009-12-01,5.2
615,Santa Catarina,Sul,2009-12-01,5.2
616,Rio Grande do Sul,Sul,2009-12-01,5.9
617,Mato Grosso do Sul,Centro-Oeste,2009-12-01,4.5
618,Mato Grosso,Centro-Oeste,2009-12-01,4.6
619,Goiás,Centro-Oeste,2009-12-01,5.2
620,Distrito Federal,Centro-Oeste,2009-12-01,6.3
621,Rondônia,Norte,2010-01-01,3.7
622,Acre,Norte,2010-01-01,4.8
623,Amazonas,Norte,2010-01-01,4.6
624,Roraima,Norte,2010-01-01,5.5
625,Pará,Norte,2010-01-01,3.8
626,Amapá,Norte,2010-01-01,5.1
627,Tocantins,Norte,2010-01-01,4.6
628,Maranhão,Nordeste,2010-01-01,4.5
629,Piauí,Nordeste,2010-01-01,4.3
630,Ceará,Nordeste,2010-01-01,5.1
631,Rio Grande do Norte,Nordeste,2010-01-01,5.7
632,Paraíba,Nordeste,2010-01-01,5.3
633,Pernambuco,Nordeste,2010-01-01,28.7
634,Alagoas,Nordeste,2010-01-01,5.8
635,Sergipe,Nordeste,2010-01-01,5.7
636,Bahia,Nordeste,2010-01-01,4.3
637,Minas Gerais,Sudeste,2010-01-01,5.4
638,Espírito Santo,Sudeste,2010-01-01,6.0
639,Rio de Janeiro,Sudeste,2010-01-01,9.7
640,São Paulo,Sudeste,2010-01-01,6.4
641,Paraná,Sul,2010-01-01,5.3
642,Santa Catarina,Sul,2010-01-01,5.4
643,Rio Grande do Sul,Sul,2010-01-01,6.0
644,Mato Grosso do Sul,Centro-Oeste,2010-01-01,4.8
645,Mato Grosso,Centro-Oeste,2010-01-01,4.5
646,Goiás,Centro-Oeste,2010-01-01,5.1
647,Distrito Federal,Centro-Oeste,2010-01-01,6.8
648,Rondônia,Norte,2010-02-01,4.0
649,Acre,Norte,2010-02-01,4.4
650,Amazonas,Norte,2010-02-01,4.5
651,Roraima,Norte,2010-02-01,5.1
652,Pará,Norte,2010-02-01,3.7
653,Amapá,Norte,2010-02-01,5.3
654,Tocantins,Norte,2010-02-01,4.4
655,Maranhão,Nordeste,2010-02-01,4.5
656,Piauí,Nordeste,2010-02-01,4.2
657,Ceará,Nordeste,2010-02-01,4.9
658,Rio Grande do Norte,Nordeste,2010-02-01,5.5
659,Paraíba,Nordeste,2010-02-01,5.1
660,Pernambuco,Nordeste,2010-02-01,5.8
661,Alagoas,Nordeste,2010-02-01,5.2
662,Sergipe,Nordeste,2010-02-01,5.3
663,Bahia,Nordeste,2010-02-01,4.3
664,Minas Gerais,Sudeste,2010-02-01,5.3
665,Espírito Santo,Sudeste,2010-02-01,5.6
666,Rio de Janeiro,Sudeste,2010-02-01,8.1
667,São Paulo,Sudeste,2010-02-01,6.0
668,Paraná,Sul,2010-02-01,4.9
669,Santa Catarina,Sul,2010-02-01,5.4
670,Rio Grande do Sul,Sul,2010-02-01,6.0
671,Mato Grosso do Sul,Centro-Oeste,2010-02-01,4.7
672,Mato Grosso,Centro-Oeste,2010-02-01,4.6
673,Goiás,Centro-Oeste,2010-02-01,4.7
674,Distrito Federal,Centro-Oeste,2010-02-01,6.8
675,Rondônia,Norte,2010-03-01,3.9
676,Acre,Norte,2010-03-01,4.2
677,Amazonas,Norte,2010-03-01,4.5
678,Roraima,Norte,2010-03-01,5.0
679,Pará,Norte,2010-03-01,3.7
680,Amapá,Norte,2010-03-01,5.0
681,Tocantins,Norte,2010-03-01,4.5
682,Maranhão,Nordeste,2010-03-01,4.5
683,Piauí,Nordeste,2010-03-01,4.0
684,Ceará,Nordeste,2010-03-01,4.8
685,Rio Grande do Norte,Nordeste,2010-03-01,5.9
686,Paraíba,Nordeste,2010-03-01,5.0
687,Pernambuco,Nordeste,2010-03-01,5.5
688,Alagoas,Nordeste,2010-03-01,5.0
689,Sergipe,Nordeste,2010-03-01,5.1
690,Bahia,Nordeste,2010-03-01,4.1
691,Minas Gerais,Sudeste,2010-03-01,5.2
692,Espírito Santo,Sudeste,2010-03-01,5.6
693,Rio de Janeiro,Sudeste,2010-03-01,7.3
694,São Paulo,Sudeste,2010-03-01,6.0
695,Paraná,Sul,2010-03-01,5.0
696,Santa Catarina,Sul,2010-03-01,5.2
697,Rio Grande do Sul,Sul,2010-03-01,5.9
698,Mato Grosso do Sul,Centro-Oeste,2010-03-01,4.6
699,Mato Grosso,Centro-Oeste,2010-03-01,4.3
700,Goiás,Centro-Oeste,2010-03-01,4.9
701,Distrito Federal,Centro-Oeste,2010-03-01,6.5
702,Rondônia,Norte,2010-04-01,3.9
703,Acre,Norte,2010-04-01,4.3
704,Amazonas,Norte,2010-04-01,4.8
705,Roraima,Norte,2010-04-01,4.9
706,Pará,Norte,2010-04-01,3.7
707,Amapá,Norte,2010-04-01,5.1
708,Tocantins,Norte,2010-04-01,4.4
709,Maranhão,Nordeste,2010-04-01,4.4
710,Piauí,Nordeste,2010-04-01,4.1
711,Ceará,Nordeste,2010-04-01,5.0
712,Rio Grande do Norte,Nordeste,2010-04-01,5.5
713,Paraíba,Nordeste,2010-04-01,5.2
714,Pernambuco,Nordeste,2010-04-01,5.9
715,Alagoas,Nordeste,2010-04-01,5.0
716,Sergipe,Nordeste,2010-04-01,5.0
717,Bahia,Nordeste,2010-04-01,4.1
718,Minas Gerais,Sudeste,2010-04-01,5.4
719,Espírito Santo,Sudeste,2010-04-01,5.6
720,Rio de Janeiro,Sudeste,2010-04-01,17.7
721,São Paulo,Sudeste,2010-04-01,6.0
722,Paraná,Sul,2010-04-01,5.1
723,Santa Catarina,Sul,2010-04-01,5.3
724,Rio Grande do Sul,Sul,2010-04-01,6.0
725,Mato Grosso do Sul,Centro-Oeste,2010-04-01,4.7
726,Mato Grosso,Centro-Oeste,2010-04-01,4.4
727,Goiás,Centro-Oeste,2010-04-01,4.9
728,Distrito Federal,Centro-Oeste,2010-04-01,6.6
729,Rondônia,Norte,2010-05-01,4.1
730,Acre,Norte,2010-05-01,4.4
731,Amazonas,Norte,2010-05-01,4.7
732,Roraima,Norte,2010-05-01,5.0
733,Pará,Norte,2010-05-01,3.7
734,Amapá,Norte,2010-05-01,4.9
735,Tocantins,Norte,2010-05-01,4.4
736,Maranhão,Nordeste,2010-05-01,4.5
737,Piauí,Nordeste,2010-05-01,4.0
738,Ceará,Nordeste,2010-05-01,5.0
739,Rio Grande do Norte,Nordeste,2010-05-01,5.6
740,Paraíba,Nordeste,2010-05-01,5.0
741,Pernambuco,Nordeste,2010-05-01,7.3
742,Alagoas,Nordeste,2010-05-01,5.2
743,Sergipe,Nordeste,2010-05-01,5.3
744,Bahia,Nordeste,2010-05-01,4.2
745,Minas Gerais,Sudeste,2010-05-01,5.4
746,Espírito Santo,Sudeste,2010-05-01,5.7
747,Rio de Janeiro,Sudeste,2010-05-01,8.0
748,São Paulo,Sudeste,2010-05-01,6.2
749,Paraná,Sul,2010-05-01,5.0
750,Santa Catarina,Sul,2010-05-01,5.2
751,Rio Grande do Sul,Sul,2010-05-01,6.0
752,Mato Grosso do Sul,Centro-Oeste,2010-05-01,4.9
753,Mato Grosso,Centro-Oeste,2010-05-01,4.6
754,Goiás,Centro-Oeste,2010-05-01,8.8
755,Distrito Federal,Centro-Oeste,2010-05-01,6.6
756,Rondônia,Norte,2010-06-01,4.1
757,Acre,Norte,2010-06-01,4.5
758,Amazonas,Norte,2010-06-01,4.8
759,Roraima,Norte,2010-06-01,4.9
760,Pará,Norte,2010-06-01,3.7
761,Amapá,Norte,2010-06-01,4.6
762,Tocantins,Norte,2010-06-01,4.4
763,Maranhão,Nordeste,2010-06-01,4.3
764,Piauí,Nordeste,2010-06-01,4.0
765,Ceará,Nordeste,2010-06-01,5.0
766,Rio Grande do Norte,Nordeste,2010-06-01,5.8
767,Paraíba,Nordeste,2010-06-01,5.1
768,Pernambuco,Nordeste,2010-06-01,5.6
769,Alagoas,Nordeste,2010-06-01,5.0
770,Sergipe,Nordeste,2010-06-01,5.2
771,Bahia,Nordeste,2010-06-01,4.3
772,Minas Gerais,Sudeste,2010-06-01,5.4
773,Espírito Santo,Sudeste,2010-06-01,5.4
774,Rio de Janeiro,Sudeste,2010-06-01,7.8
775,São Paulo,Sudeste,2010-06-01,6.3
776,Paraná,Sul,2010-06-01,5.0
777,Santa Catarina,Sul,2010-06-01,5.5
778,Rio Grande do Sul,Sul,2010-06-01,6.0
779,Mato Grosso do Sul,Centro-Oeste,2010-06-01,4.8
780,Mato Grosso,Centro-Oeste,2010-06-01,4.6
781,Goiás,Centro-Oeste,2010-06-01,5.0
782,Distrito Federal,Centro-Oeste,2010-06-01,6.9
783,Rondônia,Norte,2010-07-01,4.0
784,Acre,Norte,2010-07-01,4.5
785,Amazonas,Norte,2010-07-01,4.8
786,Roraima,Norte,2010-07-01,5.1
787,Pará,Norte,2010-07-01,3.7
788,Amapá,Norte,2010-07-01,4.7
789,Tocantins,Norte,2010-07-01,4.6
790,Maranhão,Nordeste,2010-07-01,4.5
791,Piauí,Nordeste,2010-07-01,3.9
792,Ceará,Nordeste,2010-07-01,5.0
793,Rio Grande do Norte,Nordeste,2010-07-01,5.7
794,Paraíba,Nordeste,2010-07-01,4.9
795,Pernambuco,Nordeste,2010-07-01,5.3
796,Alagoas,Nordeste,2010-07-01,5.1
797,Sergipe,Nordeste,2010-07-01,5.3
798,Bahia,Nordeste,2010-07-01,4.3
799,Minas Gerais,Sudeste,2010-07-01,5.5
800,Espírito Santo,Sudeste,2010-07-01,5.7
801,Rio de Janeiro,Sudeste,2010-07-01,8.3
802,São Paulo,Sudeste,2010-07-01,6.3
803,Paraná,Sul,2010-07-01,5.1
804,Santa Catarina,Sul,2010-07-01,5.3
805,Rio Grande do Sul,Sul,2010-07-01,6.1
806,Mato Grosso do Sul,Centro-Oeste,2010-07-01,4.9
807,Mato Grosso,Centro-Oeste,2010-07-01,4.5
808,Goiás,Centro-Oeste,2010-07-01,5.4
809,Distrito Federal,Centro-Oeste,2010-07-01,7.1
810,Rondônia,Norte,2010-08-01,3.8
811,Acre,Norte,2010-08-01,4.4
812,Amazonas,Norte,2010-08-01,4.8
813,Roraima,Norte,2010-08-01,5.0
814,Pará,Norte,2010-08-01,3.7
815,Amapá,Norte,2010-08-01,4.2
816,Tocantins,Norte,2010-08-01,4.3
817,Maranhão,Nordeste,2010-08-01,4.5
818,Piauí,Nordeste,2010-08-01,4.0
819,Ceará,Nordeste,2010-08-01,5.1
820,Rio Grande do Norte,Nordeste,2010-08-01,5.7
821,Paraíba,Nordeste,2010-08-01,4.9
822,Pernambuco,Nordeste,2010-08-01,6.0
823,Alagoas,Nordeste,2010-08-01,5.3
824,Sergipe,Nordeste,2010-08-01,5.6
825,Bahia,Nordeste,2010-08-01,4.1
826,Minas Gerais,Sudeste,2010-08-01,5.5
827,Espírito Santo,Sudeste,2010-08-01,5.8
828,Rio de Janeiro,Sudeste,2010-08-01,7.9
829,São Paulo,Sudeste,2010-08-01,7.2
830,Paraná,Sul,2010-08-01,5.1
831,Santa Catarina,Sul,2010-08-01,5.3
832,Rio Grande do Sul,Sul,2010-08-01,6.2
833,Mato Grosso do Sul,Centro-Oeste,2010-08-01,4.6
834,Mato Grosso,Centro-Oeste,2010-08-01,4.3
835,Goiás,Centro-Oeste,2010-08-01,5.0
836,Distrito Federal,Centro-Oeste,2010-08-01,6.5
837,Rondônia,Norte,2010-09-01,4.1
838,Acre,Norte,2010-09-01,4.2
839,Amazonas,Norte,2010-09-01,4.8
840,Roraima,Norte,2010-09-01,5.2
841,Pará,Norte,2010-09-01,3.7
842,Amapá,Norte,2010-09-01,4.1
843,Tocantins,Norte,2010-09-01,4.2
844,Maranhão,Nordeste,2010-09-01,4.2
845,Piauí,Nordeste,2010-09-01,3.8
846,Ceará,Nordeste,2010-09-01,5.0
847,Rio Grande do Norte,Nordeste,2010-09-01,5.8
848,Paraíba,Nordeste,2010-09-01,5.1
849,Pernambuco,Nordeste,2010-09-01,6.1
850,Alagoas,Nordeste,2010-09-01,5.2
851,Sergipe,Nordeste,2010-09-01,5.3
852,Bahia,Nordeste,2010-09-01,4.1
853,Minas Gerais,Sudeste,2010-09-01,5.3
854,Espírito Santo,Sudeste,2010-09-01,6.9
855,Rio de Janeiro,Sudeste,2010-09-01,8.6
856,São Paulo,Sudeste,2010-09-01,6.3
857,Paraná,Sul,2010-09-01,5.0
858,Santa Catarina,Sul,2010-09-01,5.4
859,Rio Grande do Sul,Sul,2010-09-01,6.2
860,Mato Grosso do Sul,Centro-Oeste,2010-09-01,4.6
861,Mato Grosso,Centro-Oeste,2010-09-01,4.4
862,Goiás,Centro-Oeste,2010-09-01,5.0
863,Distrito Federal,Centro-Oeste,2010-09-01,6.6
864,Rondônia,Norte,2010-10-01,4.1
865,Acre,Norte,2010-10-01,4.2
866,Amazonas,Norte,2010-10-01,4.7
867,Roraima,Norte,2010-10-01,5.0
868,Pará,Norte,2010-10-01,3.8
869,Amapá,Norte,2010-10-01,4.7
870,Tocantins,Norte,2010-10-01,4.5
871,Maranhão,Nordeste,2010-10-01,4.3
872,Piauí,Nordeste,2010-10-01,4.2
873,Ceará,Nordeste,2010-10-01,5.2
874,Rio Grande do Norte,Nordeste,2010-10-01,5.7
875,Paraíba,Nordeste,2010-10-01,5.2
876,Pernambuco,Nordeste,2010-10-01,5.7
877,Alagoas,Nordeste,2010-10-01,5.4
878,Sergipe,Nordeste,2010-10-01,5.6
879,Bahia,Nordeste,2010-10-01,4.3
880,Minas Gerais,Sudeste,2010-10-01,5.3
881,Espírito Santo,Sudeste,2010-10-01,5.7
882,Rio de Janeiro,Sudeste,2010-10-01,8.1
883,São Paulo,Sudeste,2010-10-01,7.3
884,Paraná,Sul,2010-10-01,5.1
885,Santa Catarina,Sul,2010-10-01,5.3
886,Rio Grande do Sul,Sul,2010-10-01,6.1
887,Mato Grosso do Sul,Centro-Oeste,2010-10-01,5.0
888,Mato Grosso,Centro-Oeste,2010-10-01,4.5
889,Goiás,Centro-Oeste,2010-10-01,5.0
890,Distrito Federal,Centro-Oeste,2010-10-01,6.6
891,Rondônia,Norte,2010-11-01,4.1
892,Acre,Norte,2010-11-01,4.4
893,Amazonas,Norte,2010-11-01,4.8
894,Roraima,Norte,2010-11-01,4.9
895,Pará,Norte,2010-11-01,3.7
896,Amapá,Norte,2010-11-01,4.6
897,Tocantins,Norte,2010-11-01,4.5
898,Maranhão,Nordeste,2010-11-01,4.2
899,Piauí,Nordeste,2010-11-01,3.9
900,Ceará,Nordeste,2010-11-01,5.1
901,Rio Grande do Norte,Nordeste,2010-11-01,5.7
902,Paraíba,Nordeste,2010-11-01,5.2
903,Pernambuco,Nordeste,2010-11-01,5.3
904,Alagoas,Nordeste,2010-11-01,5.3
905,Sergipe,Nordeste,2010-11-01,5.2
906,Bahia,Nordeste,2010-11-01,4.2
907,Minas Gerais,Sudeste,2010-11-01,5.3
908,Espírito Santo,Sudeste,2010-11-01,5.5
909,Rio de Janeiro,Sudeste,2010-11-01,7.6
910,São Paulo,Sudeste,2010-11-01,6.5
911,Paraná,Sul,2010-11-01,5.0
912,Santa Catarina,Sul,2010-11-01,5.3
913,Rio Grande do Sul,Sul,2010-11-01,6.1
914,Mato Grosso do Sul,Centro-Oeste,2010-11-01,4.8
915,Mato Grosso,Centro-Oeste,2010-11-01,4.4
916,Goiás,Centro-Oeste,2010-11-01,4.8
917,Distrito Federal,Centro-Oeste,2010-11-01,7.0
918,Rondônia,Norte,2010-12-01,3.9
919,Acre,Norte,2010-12-01,4.3
920,Amazonas,Norte,2010-12-01,4.5
921,Roraima,Norte,2010-12-01,4.8
922,Pará,Norte,2010-12-01,3.7
923,Amapá,Norte,2010-12-01,4.6
924,Tocantins,Norte,2010-12-01,4.3
925,Maranhão,Nordeste,2010-12-01,4.2
926,Piauí,Nordeste,2010-12-01,3.9
927,Ceará,Nordeste,2010-12-01,5.2
928,Rio Grande do Norte,Nordeste,2010-12-01,5.6
929,Paraíba,Nordeste,2010-12-01,5.5
930,Pernambuco,Nordeste,2010-12-01,6.2
931,Alagoas,Nordeste,2010-12-01,5.3
932,Sergipe,Nordeste,2010-12-01,5.7
933,Bahia,Nordeste,2010-12-01,4.3
934,Minas Gerais,Sudeste,2010-12-01,5.2
935,Espírito Santo,Sudeste,2010-12-01,5.5
936,Rio de Janeiro,Sudeste,2010-12-01,8.0
937,São Paulo,Sudeste,2010-12-01,6.0
938,Paraná,Sul,2010-12-01,5.0
939,Santa Catarina,Sul,2010-12-01,5.1
940,Rio Grande do Sul,Sul,2010-12-01,5.8
941,Mato Grosso do Sul,Centro-Oeste,2010-12-01,4.5
942,Mato Grosso,Centro-Oeste,2010-12-01,4.2
943,Goiás,Centro-Oeste,2010-12-01,4.8
944,Distrito Federal,Centro-Oeste,2010-12-01,6.7
945,Rondônia,Norte,2011-01-01,4.3
946,Acre,Norte,2011-01-01,4.6
947,Amazonas,Norte,2011-01-01,4.8
948,Roraima,Norte,2011-01-01,5.2
949,Pará,Norte,2011-01-01,3.8
950,Amapá,Norte,2011-01-01,5.0
951,Tocantins,Norte,2011-01-01,4.5
952,Maranhão,Nordeste,2011-01-01,4.4
953,Piauí,Nordeste,2011-01-01,5.9
954,Ceará,Nordeste,2011-01-01,5.1
955,Rio Grande do Norte,Nordeste,2011-01-01,6.0
956,Paraíba,Nordeste,2011-01-01,5.1
957,Pernambuco,Nordeste,2011-01-01,8.0
958,Alagoas,Nordeste,2011-01-01,5.4
959,Sergipe,Nordeste,2011-01-01,5.5
960,Bahia,Nordeste,2011-01-01,4.4
961,Minas Gerais,Sudeste,2011-01-01,5.8
962,Espírito Santo,Sudeste,2011-01-01,5.7
963,Rio de Janeiro,Sudeste,2011-01-01,15.3
964,São Paulo,Sudeste,2011-01-01,6.4
965,Paraná,Sul,2011-01-01,5.1
966,Santa Catarina,Sul,2011-01-01,5.4
967,Rio Grande do Sul,Sul,2011-01-01,6.0
968,Mato Grosso do Sul,Centro-Oeste,2011-01-01,4.6
969,Mato Grosso,Centro-Oeste,2011-01-01,4.5
970,Goiás,Centro-Oeste,2011-01-01,5.1
971,Distrito Federal,Centro-Oeste,2011-01-01,7.0
972,Rondônia,Norte,2011-02-01,4.3
973,Acre,Norte,2011-02-01,4.5
974,Amazonas,Norte,2011-02-01,4.8
975,Roraima,Norte,2011-02-01,5.3
976,Pará,Norte,2011-02-01,3.8
977,Amapá,Norte,2011-02-01,4.8
978,Tocantins,Norte,2011-02-01,4.4
979,Maranhão,Nordeste,2011-02-01,4.4
980,Piauí,Nordeste,2011-02-01,4.0
981,Ceará,Nordeste,2011-02-01,5.2
982,Rio Grande do Norte,Nordeste,2011-02-01,5.7
983,Paraíba,Nordeste,2011-02-01,5.2
984,Pernambuco,Nordeste,2011-02-01,5.3
985,Alagoas,Nordeste,2011-02-01,5.4
986,Sergipe,Nordeste,2011-02-01,5.3
987,Bahia,Nordeste,2011-02-01,4.3
988,Minas Gerais,Sudeste,2011-02-01,5.3
989,Espírito Santo,Sudeste,2011-02-01,5.2
990,Rio de Janeiro,Sudeste,2011-02-01,11.2
991,São Paulo,Sudeste,2011-02-01,5.9
992,Paraná,Sul,2011-02-01,5.1
993,Santa Catarina,Sul,2011-02-01,5.4
994,Rio Grande do Sul,Sul,2011-02-01,6.1
995,Mato Grosso do Sul,Centro-Oeste,2011-02-01,4.7
996,Mato Grosso,Centro-Oeste,2011-02-01,4.3
997,Goiás,Centro-Oeste,2011-02-01,4.7
998,Distrito Federal,Centro-Oeste,2011-02-01,6.5
999,Rondônia,Norte,2011-03-01,4.2
1000,Acre,Norte,2011-03-01,4.6
1001,Amazonas,Norte,2011-03-01,4.9
1002,Roraima,Norte,2011-03-01,5.4
1003,Pará,Norte,2011-03-01,3.8
1004,Amapá,Norte,2011-03-01,5.0
1005,Tocantins,Norte,2011-03-01,4.4
1006,Maranhão,Nordeste,2011-03-01,4.4
1007,Piauí,Nordeste,2011-03-01,4.1
1008,Ceará,Nordeste,2011-03-01,5.0
1009,Rio Grande do Norte,Nordeste,2011-03-01,6.2
1010,Paraíba,Nordeste,2011-03-01,5.1
1011,Pernambuco,Nordeste,2011-03-01,5.4
1012,Alagoas,Nordeste,2011-03-01,5.5
1013,Sergipe,Nordeste,2011-03-01,5.1
1014,Bahia,Nordeste,2011-03-01,4.2
1015,Minas Gerais,Sudeste,2011-03-01,5.4
1016,Espírito Santo,Sudeste,2011-03-01,5.4
1017,Rio de Janeiro,Sudeste,2011-03-01,8.1
1018,São Paulo,Sudeste,2011-03-01,5.8
1019,Paraná,Sul,2011-03-01,5.1
1020,Santa Catarina,Sul,2011-03-01,5.4
1021,Rio Grande do Sul,Sul,2011-03-01,6.2
1022,Mato Grosso do Sul,Centro-Oeste,2011-03-01,4.9
1023,Mato Grosso,Centro-Oeste,2011-03-01,4.4
1024,Goiás,Centro-Oeste,2011-03-01,4.8
1025,Distrito Federal,Centro-Oeste,2011-03-01,6.6
1026,Rondônia,Norte,2011-04-01,4.3
1027,Acre,Norte,2011-04-01,4.7
1028,Amazonas,Norte,2011-04-01,4.7
1029,Roraima,Norte,2011-04-01,5.3
1030,Pará,Norte,2011-04-01,3.8
1031,Amapá,Norte,2011-04-01,5.2
1032,Tocantins,Norte,2011-04-01,4.4
1033,Maranhão,Nordeste,2011-04-01,4.7
1034,Piauí,Nordeste,2011-04-01,4.3
1035,Ceará,Nordeste,2011-04-01,5.0
1036,Rio Grande do Norte,Nordeste,2011-04-01,5.8
1037,Paraíba,Nordeste,2011-04-01,5.2
1038,Pernambuco,Nordeste,2011-04-01,5.6
1039,Alagoas,Nordeste,2011-04-01,4.9
1040,Sergipe,Nordeste,2011-04-01,5.0
1041,Bahia,Nordeste,2011-04-01,4.2
1042,Minas Gerais,Sudeste,2011-04-01,5.3
1043,Espírito Santo,Sudeste,2011-04-01,5.6
1044,Rio de Janeiro,Sudeste,2011-04-01,7.7
1045,São Paulo,Sudeste,2011-04-01,5.9
1046,Paraná,Sul,2011-04-01,5.1
1047,Santa Catarina,Sul,2011-04-01,5.2
1048,Rio Grande do Sul,Sul,2011-04-01,6.2
1049,Mato Grosso do Sul,Centro-Oeste,2011-04-01,4.8
1050,Mato Grosso,Centro-Oeste,2011-04-01,4.3
1051,Goiás,Centro-Oeste,2011-04-01,4.7
1052,Distrito Federal,Centro-Oeste,2011-04-01,6.5
1053,Rondônia,Norte,2011-05-01,4.3
1054,Acre,Norte,2011-05-01,4.5
1055,Amazonas,Norte,2011-05-01,4.7
1056,Roraima,Norte,2011-05-01,4.6
1057,Pará,Norte,2011-05-01,3.8
1058,Amapá,Norte,2011-05-01,5.1
1059,Tocantins,Norte,2011-05-01,4.4
1060,Maranhão,Nordeste,2011-05-01,4.5
1061,Piauí,Nordeste,2011-05-01,4.0
1062,Ceará,Nordeste,2011-05-01,5.2
1063,Rio Grande do Norte,Nordeste,2011-05-01,5.7
1064,Paraíba,Nordeste,2011-05-01,5.5
1065,Pernambuco,Nordeste,2011-05-01,5.5
1066,Alagoas,Nordeste,2011-05-01,5.5
1067,Sergipe,Nordeste,2011-05-01,4.9
1068,Bahia,Nordeste,2011-05-01,4.2
1069,Minas Gerais,Sudeste,2011-05-01,5.3
1070,Espírito Santo,Sudeste,2011-05-01,5.3
1071,Rio de Janeiro,Sudeste,2011-05-01,7.5
1072,São Paulo,Sudeste,2011-05-01,5.8
1073,Paraná,Sul,2011-05-01,5.1
1074,Santa Catarina,Sul,2011-05-01,5.3
1075,Rio Grande do Sul,Sul,2011-05-01,6.1
1076,Mato Grosso do Sul,Centro-Oeste,2011-05-01,4.6
1077,Mato Grosso,Centro-Oeste,2011-05-01,4.6
1078,Goiás,Centro-Oeste,2011-05-01,5.1
1079,Distrito Federal,Centro-Oeste,2011-05-01,6.4
1080,Rondônia,Norte,2011-06-01,4.4
1081,Acre,Norte,2011-06-01,4.6
1082,Amazonas,Norte,2011-06-01,4.8
1083,Roraima,Norte,2011-06-01,5.1
1084,Pará,Norte,2011-06-01,3.7
1085,Amapá,Norte,2011-06-01,5.1
1086,Tocantins,Norte,2011-06-01,4.5
1087,Maranhão,Nordeste,2011-06-01,4.4
1088,Piauí,Nordeste,2011-06-01,4.0
1089,Ceará,Nordeste,2011-06-01,5.3
1090,Rio Grande do Norte,Nordeste,2011-06-01,6.0
1091,Paraíba,Nordeste,2011-06-01,5.4
