,UF,regiao,data,valor_corrigido
95,Sergipe,Nordeste,2008-05-01,7602744.758289862
96,Bahia,Nordeste,2008-05-01,62029876.19366379
97,Minas Gerais,Sudeste,2008-05-01,120765474.3961165
98,Espírito Santo,Sudeste,2008-05-01,17685122.144589126
99,Rio de Janeiro,Sudeste,2008-05-01,67454109.1619481
100,São Paulo,Sudeste,2008-05-01,265685592.22245368
101,Paraná,Sul,2008-05-01,86036572.42870486
102,Santa Catarina,Sul,2008-05-01,43705292.33675045
103,Rio Grande do Sul,Sul,2008-05-01,80612031.56909701
104,Mato Grosso do Sul,Centro-Oeste,2008-05-01,14832176.057371652
105,Mato Grosso,Centro-Oeste,2008-05-01,14076216.893117784
106,Goiás,Centro-Oeste,2008-05-01,29587996.789214723
107,Distrito Federal,Centro-Oeste,2008-05-01,17860512.596057974
108,Rondônia,Norte,2008-06-01,3852105.4621012234
109,Acre,Norte,2008-06-01,3016164.666724064
110,Amazonas,Norte,2008-06-01,12469172.336373609
111,Roraima,Norte,2008-06-01,1281134.168687923
112,Pará,Norte,2008-06-01,34091258.96162086
113,Amapá,Norte,2008-06-01,1959783.1359698852
114,Tocantins,Norte,2008-06-01,7983358.568899321
115,Maranhão,Nordeste,2008-06-01,20946617.39412379
116,Piauí,Nordeste,2008-06-01,15390455.265159864
117,Ceará,Nordeste,2008-06-01,43648248.545623526
118,Rio Grande do Norte,Nordeste,2008-06-01,15447612.229510166
119,Paraíba,Nordeste,2008-06-01,18306766.662772503
120,Pernambuco,Nordeste,2008-06-01,42364502.2273176
121,Alagoas,Nordeste,2008-06-01,14964935.1058197
122,Sergipe,Nordeste,2008-06-01,6971210.058471616
123,Bahia,Nordeste,2008-06-01,58423233.74244391
124,Minas Gerais,Sudeste,2008-06-01,120483121.35067163
125,Espírito Santo,Sudeste,2008-06-01,17689597.12337081
126,Rio de Janeiro,Sudeste,2008-06-01,67359500.8275954
127,São Paulo,Sudeste,2008-06-01,268007756.22362038
128,Paraná,Sul,2008-06-01,86268207.4110612
129,Santa Catarina,Sul,2008-06-01,44476562.62706188
130,Rio Grande do Sul,Sul,2008-06-01,83338268.3929052
131,Mato Grosso do Sul,Centro-Oeste,2008-06-01,15393761.225619534
132,Mato Grosso,Centro-Oeste,2008-06-01,14096537.48936655
133,Goiás,Centro-Oeste,2008-06-01,31408165.4233309
134,Distrito Federal,Centro-Oeste,2008-06-01,17896810.897475768
135,Rondônia,Norte,2008-07-01,4350177.904958786
136,Acre,Norte,2008-07-01,2887067.694483971
137,Amazonas,Norte,2008-07-01,12592561.77738602
138,Roraima,Norte,2008-07-01,1402574.907715132
139,Pará,Norte,2008-07-01,32374968.148544878
140,Amapá,Norte,2008-07-01,1881206.0689323512
141,Tocantins,Norte,2008-07-01,7437950.224975054
