,UF,regiao,data,valor_corrigido
957,Pernambuco,Nordeste,2011-01-01,53188236.373460785
958,Alagoas,Nordeste,2011-01-01,13932612.079212982
959,Sergipe,Nordeste,2011-01-01,8667696.067087002
960,Bahia,Nordeste,2011-01-01,69626547.07199946
961,Minas Gerais,Sudeste,2011-01-01,143083414.95182425
962,Espírito Santo,Sudeste,2011-01-01,20645068.458029214
963,Rio de Janeiro,Sudeste,2011-01-01,100762236.47868061
964,São Paulo,Sudeste,2011-01-01,303463654.6582863
965,Paraná,Sul,2011-01-01,98692706.72825935
966,Santa Catarina,Sul,2011-01-01,51606575.06036534
967,Rio Grande do Sul,Sul,2011-01-01,89819015.90138932
968,Mato Grosso do Sul,Centro-Oeste,2011-01-01,15306706.325475885
969,Mato Grosso,Centro-Oeste,2011-01-01,15409105.989952426
970,Goiás,Centro-Oeste,2011-01-01,34271002.850450896
971,Distrito Federal,Centro-Oeste,2011-01-01,18653857.68714739
972,Rondônia,Norte,2011-02-01,5601203.669179084
973,Acre,Norte,2011-02-01,3061555.3062111326
974,Amazonas,Norte,2011-02-01,11834745.453921402
975,Roraima,Norte,2011-02-01,1522866.9710547382
976,Pará,Norte,2011-02-01,33376835.617084075
977,Amapá,Norte,2011-02-01,1986429.0573933253
978,Tocantins,Norte,2011-02-01,8331993.830897111
979,Maranhão,Nordeste,2011-02-01,25737272.028863676
980,Piauí,Nordeste,2011-02-01,15785007.44392125
981,Ceará,Nordeste,2011-02-01,44416188.234161995
982,Rio Grande do Norte,Nordeste,2011-02-01,17566002.799779106
983,Paraíba,Nordeste,2011-02-01,20258992.7834339
984,Pernambuco,Nordeste,2011-02-01,47806182.29982682
985,Alagoas,Nordeste,2011-02-01,14916573.792073302
986,Sergipe,Nordeste,2011-02-01,7547451.539266364
987,Bahia,Nordeste,2011-02-01,64810221.64654886
988,Minas Gerais,Sudeste,2011-02-01,135027249.26618052
989,Espírito Santo,Sudeste,2011-02-01,20002499.84891863
990,Rio de Janeiro,Sudeste,2011-02-01,81324901.60727711
991,São Paulo,Sudeste,2011-02-01,290329922.94772106
992,Paraná,Sul,2011-02-01,93272985.35491657
993,Santa Catarina,Sul,2011-02-01,48974900.85618419
994,Rio Grande do Sul,Sul,2011-02-01,81914930.00967844
995,Mato Grosso do Sul,Centro-Oeste,2011-02-01,15039107.345660672
996,Mato Grosso,Centro-Oeste,2011-02-01,14070384.393419433
997,Goiás,Centro-Oeste,2011-02-01,33533831.015521675
998,Distrito Federal,Centro-Oeste,2011-02-01,17139823.63465766
999,Rondônia,Norte,2011-03-01,6078837.589326514
1000,Acre,Norte,2011-03-01,3449513.425155627
1001,Amazonas,Norte,2011-03-01,13719563.05552238
1002,Roraima,Norte,2011-03-01,1611304.972501115
1003,Pará,Norte,2011-03-01,37002167.0614084
1004,Amapá,Norte,2011-03-01,2264832.4368360285
1005,Tocantins,Norte,2011-03-01,9284075.525231684
1006,Maranhão,Nordeste,2011-03-01,26905733.712573234
1007,Piauí,Nordeste,2011-03-01,16725771.255687475
1008,Ceará,Nordeste,2011-03-01,47861151.8365683
1009,Rio Grande do Norte,Nordeste,2011-03-01,18865127.592021342
1010,Paraíba,Nordeste,2011-03-01,21003626.411686815
1011,Pernambuco,Nordeste,2011-03-01,52723316.88082951
1012,Alagoas,Nordeste,2011-03-01,16469554.138299286
1013,Sergipe,Nordeste,2011-03-01,8161578.747230334
1014,Bahia,Nordeste,2011-03-01,69377706.26039599
1015,Minas Gerais,Sudeste,2011-03-01,144637424.76489067
1016,Espírito Santo,Sudeste,2011-03-01,22390775.26276475
1017,Rio de Janeiro,Sudeste,2011-03-01,71564657.85945794
1018,São Paulo,Sudeste,2011-03-01,314463963.2689631
1019,Paraná,Sul,2011-03-01,100026652.80829892
1020,Santa Catarina,Sul,2011-03-01,53325542.331431404
1021,Rio Grande do Sul,Sul,2011-03-01,91625971.21675637
1022,Mato Grosso do Sul,Centro-Oeste,2011-03-01,16908065.343292017
1023,Mato Grosso,Centro-Oeste,2011-03-01,15911658.373285664
1024,Goiás,Centro-Oeste,2011-03-01,39520521.64914276
1025,Distrito Federal,Centro-Oeste,2011-03-01,18996758.074441943
1026,Rondônia,Norte,2011-04-01,6581094.839140273
1027,Acre,Norte,2011-04-01,3261656.309341723
1028,Amazonas,Norte,2011-04-01,13143807.5482636
1029,Roraima,Norte,2011-04-01,1715080.9036016208
1030,Pará,Norte,2011-04-01,34237862.12295737
1031,Amapá,Norte,2011-04-01,2342990.384869069
1032,Tocantins,Norte,2011-04-01,8694538.70803211
1033,Maranhão,Nordeste,2011-04-01,25715035.121882074
1034,Piauí,Nordeste,2011-04-01,15920925.717724236
1035,Ceará,Nordeste,2011-04-01,44845729.54042957
1036,Rio Grande do Norte,Nordeste,2011-04-01,17310872.5615916
1037,Paraíba,Nordeste,2011-04-01,19096681.93855844
1038,Pernambuco,Nordeste,2011-04-01,51525697.007204294
1039,Alagoas,Nordeste,2011-04-01,15132096.50585013
1040,Sergipe,Nordeste,2011-04-01,8360586.379923736
1041,Bahia,Nordeste,2011-04-01,68346662.10593136
1042,Minas Gerais,Sudeste,2011-04-01,137131349.7588684
1043,Espírito Santo,Sudeste,2011-04-01,20681745.98026868
1044,Rio de Janeiro,Sudeste,2011-04-01,71894393.76675168
1045,São Paulo,Sudeste,2011-04-01,297195572.66086876
1046,Paraná,Sul,2011-04-01,95953829.73046646
1047,Santa Catarina,Sul,2011-04-01,50747011.14714298
1048,Rio Grande do Sul,Sul,2011-04-01,87147148.01507773
1049,Mato Grosso do Sul,Centro-Oeste,2011-04-01,15937699.260178626
1050,Mato Grosso,Centro-Oeste,2011-04-01,15183323.83036128
1051,Goiás,Centro-Oeste,2011-04-01,34834683.57087073
1052,Distrito Federal,Centro-Oeste,2011-04-01,18413285.05596577
1053,Rondônia,Norte,2011-05-01,6027469.822246711
1054,Acre,Norte,2011-05-01,3799402.081091722
1055,Amazonas,Norte,2011-05-01,12513956.284438
1056,Roraima,Norte,2011-05-01,2008381.1810342488
1057,Pará,Norte,2011-05-01,34558088.4899497
1058,Amapá,Norte,2011-05-01,2221603.3881321317
1059,Tocantins,Norte,2011-05-01,8966235.841495002
1060,Maranhão,Nordeste,2011-05-01,25308462.299118593
1061,Piauí,Nordeste,2011-05-01,15690996.930454236
1062,Ceará,Nordeste,2011-05-01,46318469.51042591
1063,Rio Grande do Norte,Nordeste,2011-05-01,18833667.18333092
1064,Paraíba,Nordeste,2011-05-01,19807143.160565592
1065,Pernambuco,Nordeste,2011-05-01,53857031.32512415
1066,Alagoas,Nordeste,2011-05-01,17140838.071695358
1067,Sergipe,Nordeste,2011-05-01,8735517.456696626
1068,Bahia,Nordeste,2011-05-01,69943185.82841869
1069,Minas Gerais,Sudeste,2011-05-01,148048769.27610514
1070,Espírito Santo,Sudeste,2011-05-01,22072630.192420308
1071,Rio de Janeiro,Sudeste,2011-05-01,75616782.68685625
1072,São Paulo,Sudeste,2011-05-01,322044220.1812553
1073,Paraná,Sul,2011-05-01,104570219.57901454
1074,Santa Catarina,Sul,2011-05-01,54882625.200590275
1075,Rio Grande do Sul,Sul,2011-05-01,94407588.9032698
1076,Mato Grosso do Sul,Centro-Oeste,2011-05-01,16803925.95085954
1077,Mato Grosso,Centro-Oeste,2011-05-01,15355073.875518167
1078,Goiás,Centro-Oeste,2011-05-01,35633508.01273616
1079,Distrito Federal,Centro-Oeste,2011-05-01,18465146.846951954
1080,Rondônia,Norte,2011-06-01,5989553.493048756
1081,Acre,Norte,2011-06-01,3316186.3907186217
1082,Amazonas,Norte,2011-06-01,12247132.111405915
1083,Roraima,Norte,2011-06-01,2168333.8026336404
1084,Pará,Norte,2011-06-01,32635917.379557468
1085,Amapá,Norte,2011-06-01,1958481.4773056589
1086,Tocantins,Norte,2011-06-01,8741088.483297436
1087,Maranhão,Nordeste,2011-06-01,24331894.481642846
1088,Piauí,Nordeste,2011-06-01,15061207.649706285
1089,Ceará,Nordeste,2011-06-01,44584950.4767476
1090,Rio Grande do Norte,Nordeste,2011-06-01,18007828.404699434
1091,Paraíba,Nordeste,2011-06-01,18551221.435324065
1092,Pernambuco,Nordeste,2011-06-01,50117819.73916194
1093,Alagoas,Nordeste,2011-06-01,16083484.996553749
1094,Sergipe,Nordeste,2011-06-01,7844385.48017427
1095,Bahia,Nordeste,2011-06-01,65109285.451194435
1096,Minas Gerais,Sudeste,2011-06-01,141324254.96783826
1097,Espírito Santo,Sudeste,2011-06-01,22072000.49953985
1098,Rio de Janeiro,Sudeste,2011-06-01,70459982.72162718
1099,São Paulo,Sudeste,2011-06-01,303935936.9797435
1100,Paraná,Sul,2011-06-01,95853697.58811435
1101,Santa Catarina,Sul,2011-06-01,52753851.20519875
1102,Rio Grande do Sul,Sul,2011-06-01,92768660.64590758
1103,Mato Grosso do Sul,Centro-Oeste,2011-06-01,16241668.607861757
1104,Mato Grosso,Centro-Oeste,2011-06-01,14986365.01620325
1105,Goiás,Centro-Oeste,2011-06-01,33758548.884619154
1106,Distrito Federal,Centro-Oeste,2011-06-01,17965102.67264539
1107,Rondônia,Norte,2011-07-01,5505063.809719807
1108,Acre,Norte,2011-07-01,3436310.2811080767
1109,Amazonas,Norte,2011-07-01,12283681.564891454
1110,Roraima,Norte,2011-07-01,1985963.8805874533
1111,Pará,Norte,2011-07-01,31544611.50966356
1112,Amapá,Norte,2011-07-01,2045039.959885529
1113,Tocantins,Norte,2011-07-01,8146787.8263107315
1114,Maranhão,Nordeste,2011-07-01,24800747.65084018
1115,Piauí,Nordeste,2011-07-01,14723367.005146831
1116,Ceará,Nordeste,2011-07-01,43411069.88665687
1117,Rio Grande do Norte,Nordeste,2011-07-01,18360611.1401668
1118,Paraíba,Nordeste,2011-07-01,18467777.471996564
1119,Pernambuco,Nordeste,2011-07-01,53777404.804314315
1120,Alagoas,Nordeste,2011-07-01,15162857.456914725
1121,Sergipe,Nordeste,2011-07-01,8059152.034526264
1122,Bahia,Nordeste,2011-07-01,68869906.4409787
1123,Minas Gerais,Sudeste,2011-07-01,141037599.23747614
1124,Espírito Santo,Sudeste,2011-07-01,21764475.986595675
1125,Rio de Janeiro,Sudeste,2011-07-01,69681245.09402576
1126,São Paulo,Sudeste,2011-07-01,308535791.79934865
1127,Paraná,Sul,2011-07-01,98176183.9535033
1128,Santa Catarina,Sul,2011-07-01,53700452.10832486
1129,Rio Grande do Sul,Sul,2011-07-01,92732186.70442063
1130,Mato Grosso do Sul,Centro-Oeste,2011-07-01,16320638.463743584
1131,Mato Grosso,Centro-Oeste,2011-07-01,15172661.46638881
1132,Goiás,Centro-Oeste,2011-07-01,34281366.68091814
1133,Distrito Federal,Centro-Oeste,2011-07-01,17390887.704055957
1134,Rondônia,Norte,2011-08-01,6025721.820320273
1135,Acre,Norte,2011-08-01,3571219.8690758008
1136,Amazonas,Norte,2011-08-01,12024204.899969585
1137,Roraima,Norte,2011-08-01,1946054.9869896858
1138,Pará,Norte,2011-08-01,33556278.41740882
1139,Amapá,Norte,2011-08-01,2214054.840681148
1140,Tocantins,Norte,2011-08-01,8932138.00189982
1141,Maranhão,Nordeste,2011-08-01,26586639.04925071
1142,Piauí,Nordeste,2011-08-01,14970125.686685687
1143,Ceará,Nordeste,2011-08-01,46071032.715502106
1144,Rio Grande do Norte,Nordeste,2011-08-01,18479189.043572977
1145,Paraíba,Nordeste,2011-08-01,19576558.919462956
1146,Pernambuco,Nordeste,2011-08-01,56445284.34698292
1147,Alagoas,Nordeste,2011-08-01,16617664.02502577
1148,Sergipe,Nordeste,2011-08-01,8336658.025143386
1149,Bahia,Nordeste,2011-08-01,79272299.43828885
1150,Minas Gerais,Sudeste,2011-08-01,146577380.12969336
1151,Espírito Santo,Sudeste,2011-08-01,24000854.3382397
1152,Rio de Janeiro,Sudeste,2011-08-01,73908885.62681666
1153,São Paulo,Sudeste,2011-08-01,316440031.72600657
1154,Paraná,Sul,2011-08-01,102342722.77452011
1155,Santa Catarina,Sul,2011-08-01,54979182.00419443
1156,Rio Grande do Sul,Sul,2011-08-01,95933789.81104368
1157,Mato Grosso do Sul,Centro-Oeste,2011-08-01,15825400.815946795
1158,Mato Grosso,Centro-Oeste,2011-08-01,15799231.239613174
1159,Goiás,Centro-Oeste,2011-08-01,36601544.792465
1160,Distrito Federal,Centro-Oeste,2011-08-01,19986431.862036884
1161,Rondônia,Norte,2011-09-01,5250514.864951489
1162,Acre,Norte,2011-09-01,3388806.475482511
1163,Amazonas,Norte,2011-09-01,11875097.20013339
1164,Roraima,Norte,2011-09-01,2114554.735637212
1165,Pará,Norte,2011-09-01,33134430.22292204
1166,Amapá,Norte,2011-09-01,2099866.0183450826
1167,Tocantins,Norte,2011-09-01,8415772.026842482
1168,Maranhão,Nordeste,2011-09-01,24850409.207400482
1169,Piauí,Nordeste,2011-09-01,15345502.896008763
1170,Ceará,Nordeste,2011-09-01,43142460.34286332
1171,Rio Grande do Norte,Nordeste,2011-09-01,17866361.64402358
1172,Paraíba,Nordeste,2011-09-01,19285753.61305275
1173,Pernambuco,Nordeste,2011-09-01,50046808.85329226
1174,Alagoas,Nordeste,2011-09-01,14869581.719102198
1175,Sergipe,Nordeste,2011-09-01,7388632.558631534
1176,Bahia,Nordeste,2011-09-01,68310898.37484762
1177,Minas Gerais,Sudeste,2011-09-01,139323105.22793794
1178,Espírito Santo,Sudeste,2011-09-01,20845357.75496371
1179,Rio de Janeiro,Sudeste,2011-09-01,67521648.40195389
1180,São Paulo,Sudeste,2011-09-01,297381937.50347483
1181,Paraná,Sul,2011-09-01,95780605.72734773
1182,Santa Catarina,Sul,2011-09-01,50883330.258804426
1183,Rio Grande do Sul,Sul,2011-09-01,88790029.40994978
1184,Mato Grosso do Sul,Centro-Oeste,2011-09-01,15426771.754543424
1185,Mato Grosso,Centro-Oeste,2011-09-01,15039766.888184274
1186,Goiás,Centro-Oeste,2011-09-01,35236473.01064802
1187,Distrito Federal,Centro-Oeste,2011-09-01,19189613.348640777
1188,Rondônia,Norte,2011-10-01,5440064.658165097
1189,Acre,Norte,2011-10-01,3317328.36352648
1190,Amazonas,Norte,2011-10-01,12228581.392589811
1191,Roraima,Norte,2011-10-01,2199972.0885864333
1192,Pará,Norte,2011-10-01,32832780.75062179
1193,Amapá,Norte,2011-10-01,2162251.666411666
1194,Tocantins,Norte,2011-10-01,8598212.05374887
1195,Maranhão,Nordeste,2011-10-01,24712217.25470649
1196,Piauí,Nordeste,2011-10-01,14918240.642626168
1197,Ceará,Nordeste,2011-10-01,45122091.10548692
1198,Rio Grande do Norte,Nordeste,2011-10-01,17640877.45900311
1199,Paraíba,Nordeste,2011-10-01,18711341.65667071
1200,Pernambuco,Nordeste,2011-10-01,52315822.91073463
1201,Alagoas,Nordeste,2011-10-01,15202383.186792873
1202,Sergipe,Nordeste,2011-10-01,7867191.184690794
1203,Bahia,Nordeste,2011-10-01,70522745.70684685
1204,Minas Gerais,Sudeste,2011-10-01,141219622.44709402
1205,Espírito Santo,Sudeste,2011-10-01,21777937.148462724
1206,Rio de Janeiro,Sudeste,2011-10-01,67405865.36675861
1207,São Paulo,Sudeste,2011-10-01,295508931.7606677
1208,Paraná,Sul,2011-10-01,97725647.62807928
1209,Santa Catarina,Sul,2011-10-01,52185136.16960077
1210,Rio Grande do Sul,Sul,2011-10-01,91168234.25860718
1211,Mato Grosso do Sul,Centro-Oeste,2011-10-01,15077956.323106123
1212,Mato Grosso,Centro-Oeste,2011-10-01,15543455.144026317
1213,Goiás,Centro-Oeste,2011-10-01,36701764.852586456
1214,Distrito Federal,Centro-Oeste,2011-10-01,18246273.80492865
1215,Rondônia,Norte,2011-11-01,5443368.923221034
1216,Acre,Norte,2011-11-01,3249320.1925253924
1217,Amazonas,Norte,2011-11-01,12858011.036337396
1218,Roraima,Norte,2011-11-01,1923286.9948904568
1219,Pará,Norte,2011-11-01,32682776.548664663
1220,Amapá,Norte,2011-11-01,2051502.8992050015
1221,Tocantins,Norte,2011-11-01,8821074.266469086
1222,Maranhão,Nordeste,2011-11-01,25201348.426817346
1223,Piauí,Nordeste,2011-11-01,14802702.26661598
1224,Ceará,Nordeste,2011-11-01,42203396.03241333
1225,Rio Grande do Norte,Nordeste,2011-11-01,17181957.44853032
1226,Paraíba,Nordeste,2011-11-01,18525415.093266502
1227,Pernambuco,Nordeste,2011-11-01,51640372.66571911
1228,Alagoas,Nordeste,2011-11-01,14209210.863824993
1229,Sergipe,Nordeste,2011-11-01,7594268.64818265
1230,Bahia,Nordeste,2011-11-01,65901074.463585086
1231,Minas Gerais,Sudeste,2011-11-01,135031392.41769367
1232,Espírito Santo,Sudeste,2011-11-01,21625553.216869168
1233,Rio de Janeiro,Sudeste,2011-11-01,62608498.57128409
1234,São Paulo,Sudeste,2011-11-01,282535563.0538096
1235,Paraná,Sul,2011-11-01,94148737.67155647
1236,Santa Catarina,Sul,2011-11-01,49228504.027703874
1237,Rio Grande do Sul,Sul,2011-11-01,87371175.20019487
1238,Mato Grosso do Sul,Centro-Oeste,2011-11-01,15192791.579893997
1239,Mato Grosso,Centro-Oeste,2011-11-01,14994692.193672491
1240,Goiás,Centro-Oeste,2011-11-01,33560211.50674899
1241,Distrito Federal,Centro-Oeste,2011-11-01,17578175.825532213
1242,Rondônia,Norte,2011-12-01,5004866.446563034
1243,Acre,Norte,2011-12-01,3252145.1099969735
1244,Amazonas,Norte,2011-12-01,10340879.922175083
1245,Roraima,Norte,2011-12-01,1858892.2832671804
1246,Pará,Norte,2011-12-01,31049103.076070957
1247,Amapá,Norte,2011-12-01,1812782.2984762304
1248,Tocantins,Norte,2011-12-01,8326322.312969888
1249,Maranhão,Nordeste,2011-12-01,24481953.94594239
1250,Piauí,Nordeste,2011-12-01,14094100.586439727
1251,Ceará,Nordeste,2011-12-01,39777975.78980632
1252,Rio Grande do Norte,Nordeste,2011-12-01,15152708.33924474
1253,Paraíba,Nordeste,2011-12-01,17419064.876471546
1254,Pernambuco,Nordeste,2011-12-01,48768558.6524952
1255,Alagoas,Nordeste,2011-12-01,13366513.03561901
1256,Sergipe,Nordeste,2011-12-01,8004013.132735264
1257,Bahia,Nordeste,2011-12-01,64930208.178107545
1258,Minas Gerais,Sudeste,2011-12-01,135264043.9284645
1259,Espírito Santo,Sudeste,2011-12-01,20084339.47107438
1260,Rio de Janeiro,Sudeste,2011-12-01,60342463.5210453
1261,São Paulo,Sudeste,2011-12-01,262718657.07718
1262,Paraná,Sul,2011-12-01,86569459.20126669
1263,Santa Catarina,Sul,2011-12-01,46275023.65921503
1264,Rio Grande do Sul,Sul,2011-12-01,83983324.25739115
1265,Mato Grosso do Sul,Centro-Oeste,2011-12-01,14457384.240074858
1266,Mato Grosso,Centro-Oeste,2011-12-01,13860646.14451352
1267,Goiás,Centro-Oeste,2011-12-01,31014756.293717477
1268,Distrito Federal,Centro-Oeste,2011-12-01,16387470.116153454
1269,Rondônia,Norte,2012-01-01,5505245.089681225
1270,Acre,Norte,2012-01-01,3276815.121656602
1271,Amazonas,Norte,2012-01-01,11870297.348813396
1272,Roraima,Norte,2012-01-01,1851267.766676454
1273,Pará,Norte,2012-01-01,32186775.655346222
1274,Amapá,Norte,2012-01-01,2102170.948795427
1275,Tocantins,Norte,2012-01-01,8270525.912222194
1276,Maranhão,Nordeste,2012-01-01,26129231.387215547
1277,Piauí,Nordeste,2012-01-01,15481810.674255505
1278,Ceará,Nordeste,2012-01-01,43167168.25255201
1279,Rio Grande do Norte,Nordeste,2012-01-01,16734161.562568108
1280,Paraíba,Nordeste,2012-01-01,17780930.305500045
1281,Pernambuco,Nordeste,2012-01-01,51613186.297734454
1282,Alagoas,Nordeste,2012-01-01,14683011.14895962
1283,Sergipe,Nordeste,2012-01-01,8478382.41361141
1284,Bahia,Nordeste,2012-01-01,68542963.69406025
1285,Minas Gerais,Sudeste,2012-01-01,150559351.20270965
1286,Espírito Santo,Sudeste,2012-01-01,20810344.84126765
1287,Rio de Janeiro,Sudeste,2012-01-01,85303935.45932704
1288,São Paulo,Sudeste,2012-01-01,295212060.22300375
1289,Paraná,Sul,2012-01-01,91868258.63122408
1290,Santa Catarina,Sul,2012-01-01,50292914.94845871
1291,Rio Grande do Sul,Sul,2012-01-01,90625536.94480234
1292,Mato Grosso do Sul,Centro-Oeste,2012-01-01,15292664.71115888
1293,Mato Grosso,Centro-Oeste,2012-01-01,14323203.959091123
1294,Goiás,Centro-Oeste,2012-01-01,34512493.41232591
1295,Distrito Federal,Centro-Oeste,2012-01-01,18271849.38390173
1296,Rondônia,Norte,2012-02-01,5412459.72335444
1297,Acre,Norte,2012-02-01,2913368.6462266482
1298,Amazonas,Norte,2012-02-01,10617929.537367772
1299,Roraima,Norte,2012-02-01,1859471.4526458688
1300,Pará,Norte,2012-02-01,30430043.79150585
1301,Amapá,Norte,2012-02-01,2016850.2191327414
1302,Tocantins,Norte,2012-02-01,8172083.544646312
1303,Maranhão,Nordeste,2012-02-01,23850189.992570218
1304,Piauí,Nordeste,2012-02-01,13928853.187470734
1305,Ceará,Nordeste,2012-02-01,38356141.06619399
1306,Rio Grande do Norte,Nordeste,2012-02-01,16449363.834132932
1307,Paraíba,Nordeste,2012-02-01,16824843.18699083
1308,Pernambuco,Nordeste,2012-02-01,47966215.4163317
1309,Alagoas,Nordeste,2012-02-01,13820175.105517004
1310,Sergipe,Nordeste,2012-02-01,7756632.289269935
1311,Bahia,Nordeste,2012-02-01,62002641.06953804
1312,Minas Gerais,Sudeste,2012-02-01,133048297.7685352
1313,Espírito Santo,Sudeste,2012-02-01,20242238.49902056
1314,Rio de Janeiro,Sudeste,2012-02-01,58055871.12616086
1315,São Paulo,Sudeste,2012-02-01,271682617.6332416
1316,Paraná,Sul,2012-02-01,89912297.30993125
1317,Santa Catarina,Sul,2012-02-01,48612570.1081972
1318,Rio Grande do Sul,Sul,2012-02-01,80834734.01313192
1319,Mato Grosso do Sul,Centro-Oeste,2012-02-01,14587051.512606924
1320,Mato Grosso,Centro-Oeste,2012-02-01,13640486.009557357
1321,Goiás,Centro-Oeste,2012-02-01,33188009.637216095
1322,Distrito Federal,Centro-Oeste,2012-02-01,16710887.625131248
1323,Rondônia,Norte,2012-03-01,5959811.140483282
1324,Acre,Norte,2012-03-01,3589794.466736905
1325,Amazonas,Norte,2012-03-01,13269192.981962234
1326,Roraima,Norte,2012-03-01,2012298.734457583
1327,Pará,Norte,2012-03-01,34488115.01386265
1328,Amapá,Norte,2012-03-01,2171054.925897063
1329,Tocantins,Norte,2012-03-01,9471645.131497413
1330,Maranhão,Nordeste,2012-03-01,26804565.124665134
1331,Piauí,Nordeste,2012-03-01,15376236.22427447
1332,Ceará,Nordeste,2012-03-01,43441320.9682244
1333,Rio Grande do Norte,Nordeste,2012-03-01,18951837.99945725
1334,Paraíba,Nordeste,2012-03-01,18699248.59917833
1335,Pernambuco,Nordeste,2012-03-01,54574271.431101814
1336,Alagoas,Nordeste,2012-03-01,15700124.735480683
1337,Sergipe,Nordeste,2012-03-01,8363125.064440807
1338,Bahia,Nordeste,2012-03-01,72988176.89176542
1339,Minas Gerais,Sudeste,2012-03-01,151019782.5168681
1340,Espírito Santo,Sudeste,2012-03-01,22449376.597111814
1341,Rio de Janeiro,Sudeste,2012-03-01,73115945.34968771
1342,São Paulo,Sudeste,2012-03-01,303320465.79620063
1343,Paraná,Sul,2012-03-01,99478721.12433936
1344,Santa Catarina,Sul,2012-03-01,53146918.69703317
1345,Rio Grande do Sul,Sul,2012-03-01,92507381.60377648
1346,Mato Grosso do Sul,Centro-Oeste,2012-03-01,16949020.196607225
1347,Mato Grosso,Centro-Oeste,2012-03-01,15952228.606836343
1348,Goiás,Centro-Oeste,2012-03-01,36642008.454172365
1349,Distrito Federal,Centro-Oeste,2012-03-01,18615674.514727566
1350,Rondônia,Norte,2012-04-01,5592619.056129703
1351,Acre,Norte,2012-04-01,3246482.0477510914
1352,Amazonas,Norte,2012-04-01,12447092.655428614
1353,Roraima,Norte,2012-04-01,1803676.6798384117
1354,Pará,Norte,2012-04-01,32028691.224644266
1355,Amapá,Norte,2012-04-01,2101005.813753439
1356,Tocantins,Norte,2012-04-01,8884757.185237177
1357,Maranhão,Nordeste,2012-04-01,26244879.41833071
1358,Piauí,Nordeste,2012-04-01,14482243.693359837
1359,Ceará,Nordeste,2012-04-01,45275205.796438895
1360,Rio Grande do Norte,Nordeste,2012-04-01,16621965.785054477
1361,Paraíba,Nordeste,2012-04-01,17963539.81247008
1362,Pernambuco,Nordeste,2012-04-01,51815487.490812436
1363,Alagoas,Nordeste,2012-04-01,14081235.722282305
1364,Sergipe,Nordeste,2012-04-01,7771623.335050008
1365,Bahia,Nordeste,2012-04-01,67277190.5348389
1366,Minas Gerais,Sudeste,2012-04-01,138624708.06316295
1367,Espírito Santo,Sudeste,2012-04-01,20504319.035379644
1368,Rio de Janeiro,Sudeste,2012-04-01,66253471.24151181
1369,São Paulo,Sudeste,2012-04-01,284109173.82665986
1370,Paraná,Sul,2012-04-01,96097469.7118496
1371,Santa Catarina,Sul,2012-04-01,52398245.4610767
1372,Rio Grande do Sul,Sul,2012-04-01,86313766.1422475
1373,Mato Grosso do Sul,Centro-Oeste,2012-04-01,15210154.67164149
1374,Mato Grosso,Centro-Oeste,2012-04-01,15431445.424419459
1375,Goiás,Centro-Oeste,2012-04-01,34679384.42880884
1376,Distrito Federal,Centro-Oeste,2012-04-01,18065625.993134025
1377,Rondônia,Norte,2012-05-01,5560094.766120967
1378,Acre,Norte,2012-05-01,3270159.1742731193
1379,Amazonas,Norte,2012-05-01,13634442.931521809
1380,Roraima,Norte,2012-05-01,2289526.0325530036
1381,Pará,Norte,2012-05-01,33765376.87227007
1382,Amapá,Norte,2012-05-01,2408485.647797088
1383,Tocantins,Norte,2012-05-01,9244825.792141533
1384,Maranhão,Nordeste,2012-05-01,28501626.18011877
1385,Piauí,Nordeste,2012-05-01,16129926.56267493
1386,Ceará,Nordeste,2012-05-01,45784080.57614428
1387,Rio Grande do Norte,Nordeste,2012-05-01,17924278.28482244
1388,Paraíba,Nordeste,2012-05-01,19937966.873782307
1389,Pernambuco,Nordeste,2012-05-01,56538036.2825803
1390,Alagoas,Nordeste,2012-05-01,15502627.130359288
1391,Sergipe,Nordeste,2012-05-01,8810738.83519831
1392,Bahia,Nordeste,2012-05-01,72206680.1359887
1393,Minas Gerais,Sudeste,2012-05-01,154164213.77992365
1394,Espírito Santo,Sudeste,2012-05-01,22413740.137082823
1395,Rio de Janeiro,Sudeste,2012-05-01,74286845.20237489
1396,São Paulo,Sudeste,2012-05-01,307900039.3768722
1397,Paraná,Sul,2012-05-01,104445893.28607532
1398,Santa Catarina,Sul,2012-05-01,56120205.354603104
1399,Rio Grande do Sul,Sul,2012-05-01,95634428.40769094
1400,Mato Grosso do Sul,Centro-Oeste,2012-05-01,17716508.498329714
1401,Mato Grosso,Centro-Oeste,2012-05-01,16663160.15168293
1402,Goiás,Centro-Oeste,2012-05-01,33770750.157515645
1403,Distrito Federal,Centro-Oeste,2012-05-01,18142979.17204966
1404,Rondônia,Norte,2012-06-01,5385011.141526595
1405,Acre,Norte,2012-06-01,3252681.240920172
1406,Amazonas,Norte,2012-06-01,12579754.161411196
1407,Roraima,Norte,2012-06-01,2042255.2566865843
1408,Pará,Norte,2012-06-01,29451142.87552976
1409,Amapá,Norte,2012-06-01,2076007.4181221866
1410,Tocantins,Norte,2012-06-01,8201485.180880894
1411,Maranhão,Nordeste,2012-06-01,25433751.63477541
1412,Piauí,Nordeste,2012-06-01,14871556.658471685
1413,Ceará,Nordeste,2012-06-01,42082072.7604875
1414,Rio Grande do Norte,Nordeste,2012-06-01,17029217.24712294
1415,Paraíba,Nordeste,2012-06-01,17901229.521283656
