,UF,regiao,data,valor_hospitalar,valor_corrigido
759,Roraima,Norte,2010-06-01,1415669.83,2421197.982813575
760,Pará,Norte,2010-06-01,21105678.1,36096711.36498872
761,Amapá,Norte,2010-06-01,1332092.04,2278256.194927895
762,Tocantins,Norte,2010-06-01,4903407.72,8386221.581466146
763,Maranhão,Nordeste,2010-06-01,15481177.62,26477216.10703723
764,Piauí,Nordeste,2010-06-01,9491768.03,16233622.501915138
765,Ceará,Nordeste,2010-06-01,26124820.1,44680871.47656988
766,Rio Grande do Norte,Nordeste,2010-06-01,9769540.23,16708691.953894412
767,Paraíba,Nordeste,2010-06-01,12038016.54,20588431.529775873
768,Pernambuco,Nordeste,2010-06-01,28263078.35,48337901.13978909
769,Alagoas,Nordeste,2010-06-01,8939389.15,15288897.537334364
770,Sergipe,Nordeste,2010-06-01,4490313.12,7679712.343905308
771,Bahia,Nordeste,2010-06-01,37204504.86,63630283.14208677
772,Minas Gerais,Sudeste,2010-06-01,80752247.19,138109306.1820009
773,Espírito Santo,Sudeste,2010-06-01,12053775.56,20615383.93536265
774,Rio de Janeiro,Sudeste,2010-06-01,41619010.95,71180343.90747459
775,São Paulo,Sudeste,2010-06-01,182781317.39,312608030.1935062
776,Paraná,Sul,2010-06-01,58551122.34,100139069.36271916
777,Santa Catarina,Sul,2010-06-01,30722890.97,52544880.216007285
778,Rio Grande do Sul,Sul,2010-06-01,55975218.8,95733541.80056834
779,Mato Grosso do Sul,Centro-Oeste,2010-06-01,10014982.17,17128467.46752943
780,Mato Grosso,Centro-Oeste,2010-06-01,9256848.88,15831843.951542078
781,Goiás,Centro-Oeste,2010-06-01,20025138.04,34248680.58960569
782,Distrito Federal,Centro-Oeste,2010-06-01,10899568.82,18641362.188612677
783,Rondônia,Norte,2010-07-01,3701948.14,6330753.151455297
784,Acre,Norte,2010-07-01,1718544.84,2938907.502293438
785,Amazonas,Norte,2010-07-01,7074434.33,12098088.826660613
786,Roraima,Norte,2010-07-01,1424923.29,2436781.1940092575
787,Pará,Norte,2010-07-01,20368397.29,34832280.317617044
788,Amapá,Norte,2010-07-01,1327080.21,2269458.378120731
789,Tocantins,Norte,2010-07-01,5327109.92,9109964.980273541
790,Maranhão,Nordeste,2010-07-01,15788735.86,27000537.426002476
791,Piauí,Nordeste,2010-07-01,9226061.86,15777617.07804921
792,Ceará,Nordeste,2010-07-01,26752428.84,45749701.72000129
793,Rio Grande do Norte,Nordeste,2010-07-01,10525151.12,17999207.742138505
794,Paraíba,Nordeste,2010-07-01,13207987.17,22587163.093229778
795,Pernambuco,Nordeste,2010-07-01,27859131.97,47642290.17964754
796,Alagoas,Nordeste,2010-07-01,8985335.37,15365947.3496866
797,Sergipe,Nordeste,2010-07-01,5079073.84,8685795.020092895
798,Bahia,Nordeste,2010-07-01,40096424.78,68569455.3079491
799,Minas Gerais,Sudeste,2010-07-01,83776061.24,143266610.89089215
800,Espírito Santo,Sudeste,2010-07-01,12700851.82,21719903.857332736
801,Rio de Janeiro,Sudeste,2010-07-01,43717086.99,74761200.25668103
802,São Paulo,Sudeste,2010-07-01,182543363.59,312169952.3118232
803,Paraná,Sul,2010-07-01,59370343.13,101530051.92375003
804,Santa Catarina,Sul,2010-07-01,31483851.3,53840973.2658829
805,Rio Grande do Sul,Sul,2010-07-01,58112131.81,99378367.1950475
806,Mato Grosso do Sul,Centro-Oeste,2010-07-01,9368709.87,16021561.429699779
807,Mato Grosso,Centro-Oeste,2010-07-01,9751779.91,16676654.848420149
808,Goiás,Centro-Oeste,2010-07-01,20140975.79,34443363.63824031
809,Distrito Federal,Centro-Oeste,2010-07-01,11055837.09,18906741.221797302
810,Rondônia,Norte,2010-08-01,3550594.05,6069501.233661548
811,Acre,Norte,2010-08-01,1847752.52,3158608.402343612
812,Amazonas,Norte,2010-08-01,7241175.54,12378301.56144993
813,Roraima,Norte,2010-08-01,1548515.26,2647082.4736817586
814,Pará,Norte,2010-08-01,21675680.74,37053115.37709693
815,Amapá,Norte,2010-08-01,1376015.16,2352205.17849879
816,Tocantins,Norte,2010-08-01,5414472.86,9255676.441917367
817,Maranhão,Nordeste,2010-08-01,15941785.21,27251407.408532787
818,Piauí,Nordeste,2010-08-01,9691137.81,16566346.945063764
819,Ceará,Nordeste,2010-08-01,27777938.43,47484513.63215109
820,Rio Grande do Norte,Nordeste,2010-08-01,11092842.83,18962467.207846154
821,Paraíba,Nordeste,2010-08-01,13039390.7,22289959.602631822
822,Pernambuco,Nordeste,2010-08-01,31464474.73,53786398.98026293
823,Alagoas,Nordeste,2010-08-01,9856947.97,16849788.23869
824,Sergipe,Nordeste,2010-08-01,5399800.61,9230595.2193891
825,Bahia,Nordeste,2010-08-01,42061891.18,71901968.18111262
826,Minas Gerais,Sudeste,2010-08-01,87349061.51,149317333.69916606
827,Espírito Santo,Sudeste,2010-08-01,13591974.48,23234564.33276462
828,Rio de Janeiro,Sudeste,2010-08-01,46920293.52,80207079.54585852
829,São Paulo,Sudeste,2010-08-01,204081647.1,348863821.4895704
830,Paraná,Sul,2010-08-01,62119485.18,106189073.32828721
831,Santa Catarina,Sul,2010-08-01,32919506.85,56273678.32647745
832,Rio Grande do Sul,Sul,2010-08-01,58763144.58,100451635.27555113
833,Mato Grosso do Sul,Centro-Oeste,2010-08-01,10248707.1,17519474.068539564
834,Mato Grosso,Centro-Oeste,2010-08-01,9755070.02,16675634.74930196
835,Goiás,Centro-Oeste,2010-08-01,22396465.26,38285247.936251126
836,Distrito Federal,Centro-Oeste,2010-08-01,11839473.57,20238782.13816595
837,Rondônia,Norte,2010-09-01,3709898.5,6313421.817753632
838,Acre,Norte,2010-09-01,1939898.69,3301275.955036961
839,Amazonas,Norte,2010-09-01,7437877.69,12657612.947046662
840,Roraima,Norte,2010-09-01,1446850.7,2462217.976155443
841,Pará,Norte,2010-09-01,21146216.37,35986155.360664725
842,Amapá,Norte,2010-09-01,1214724.33,2067190.5410830413
843,Tocantins,Norte,2010-09-01,5109552.29,8695321.154106786
844,Maranhão,Nordeste,2010-09-01,15419339.41,26240284.96910156
845,Piauí,Nordeste,2010-09-01,9361489.87,15931172.88571038
846,Ceará,Nordeste,2010-09-01,26568007.72,45212837.92365072
847,Rio Grande do Norte,Nordeste,2010-09-01,10870847.75,18499764.174768656
848,Paraíba,Nordeste,2010-09-01,12415685.89,21128734.972210675
849,Pernambuco,Nordeste,2010-09-01,29655844.24,50467648.65634986
850,Alagoas,Nordeste,2010-09-01,9479546.49,16132078.986089744
851,Sergipe,Nordeste,2010-09-01,5259204.77,8949996.378324628
852,Bahia,Nordeste,2010-09-01,39949681.91,67985470.05609764
853,Minas Gerais,Sudeste,2010-09-01,84290748.75,143444100.20733443
854,Espírito Santo,Sudeste,2010-09-01,12776713.87,21743124.267699894
855,Rio de Janeiro,Sudeste,2010-09-01,43617597.46,74227446.23389545
856,São Paulo,Sudeste,2010-09-01,181480987.13,308840261.7090489
857,Paraná,Sul,2010-09-01,60422878.71,102826295.8512734
858,Santa Catarina,Sul,2010-09-01,30873229.96,52539368.29107025
859,Rio Grande do Sul,Sul,2010-09-01,53719073.99,91417911.77251552
860,Mato Grosso do Sul,Centro-Oeste,2010-09-01,9824766.71,16719566.99118684
861,Mato Grosso,Centro-Oeste,2010-09-01,9496730.21,16161321.854259364
862,Goiás,Centro-Oeste,2010-09-01,21796726.71,37093179.22485679
863,Distrito Federal,Centro-Oeste,2010-09-01,11476592.91,19530607.66257369
864,Rondônia,Norte,2010-10-01,3569084.54,6028568.079884372
865,Acre,Norte,2010-10-01,1975790.51,3337322.909455225
866,Amazonas,Norte,2010-10-01,7583162.51,12808777.976540128
867,Roraima,Norte,2010-10-01,1297243.88,2191184.5906551015
868,Pará,Norte,2010-10-01,20507587.8,34639523.89497229
869,Amapá,Norte,2010-10-01,1181837.52,1996250.8225377332
870,Tocantins,Norte,2010-10-01,5190831.45,8767873.228222806
871,Maranhão,Nordeste,2010-10-01,15161128.64,25608778.70775366
872,Piauí,Nordeste,2010-10-01,9682360.87,16354550.032262186
873,Ceará,Nordeste,2010-10-01,26526687.43,44806431.26082073
874,Rio Grande do Norte,Nordeste,2010-10-01,10300674.11,17398947.669879895
875,Paraíba,Nordeste,2010-10-01,12459891.62,21046098.53235664
876,Pernambuco,Nordeste,2010-10-01,30389656.45,51331401.87066631
877,Alagoas,Nordeste,2010-10-01,9454605.19,15969846.16574622
878,Sergipe,Nordeste,2010-10-01,5033131.77,8501501.488803044
879,Bahia,Nordeste,2010-10-01,40423882.25,68280289.65583271
880,Minas Gerais,Sudeste,2010-10-01,80747252.04,136390802.9443097
881,Espírito Santo,Sudeste,2010-10-01,13215636.62,22322633.210218936
882,Rio de Janeiro,Sudeste,2010-10-01,42262761.4,71386354.53667605
883,São Paulo,Sudeste,2010-10-01,194845639.35,329115264.3557365
884,Paraná,Sul,2010-10-01,58997864.17,99653745.02353925
885,Santa Catarina,Sul,2010-10-01,31609379.13,53391644.80762936
886,Rio Grande do Sul,Sul,2010-10-01,54626099.8,92269364.28433774
887,Mato Grosso do Sul,Centro-Oeste,2010-10-01,9852592.65,16642089.837942975
888,Mato Grosso,Centro-Oeste,2010-10-01,9310197.47,15725925.977943419
889,Goiás,Centro-Oeste,2010-10-01,20145011.79,34027093.974660605
890,Distrito Federal,Centro-Oeste,2010-10-01,10961199.94,18514646.917137604
891,Rondônia,Norte,2010-11-01,3519637.6,5896114.444311499
892,Acre,Norte,2010-11-01,1912433.8,3203718.6305685355
893,Amazonas,Norte,2010-11-01,7274434.71,12186169.271470428
894,Roraima,Norte,2010-11-01,1141127.99,1911623.2945821316
895,Pará,Norte,2010-11-01,20605377.86,34518231.65852142
896,Amapá,Norte,2010-11-01,1200088.96,2010395.0053024674
897,Tocantins,Norte,2010-11-01,5043186.65,8448371.404039983
898,Maranhão,Nordeste,2010-11-01,14870720.05,24911504.321955647
899,Piauí,Nordeste,2010-11-01,9015788.33,15103293.532086384
900,Ceará,Nordeste,2010-11-01,25518372.2,42748504.256158926
901,Rio Grande do Norte,Nordeste,2010-11-01,10427317.58,17467894.36470994
902,Paraíba,Nordeste,2010-11-01,12398264.81,20769634.984760918
903,Pernambuco,Nordeste,2010-11-01,29061390.73,48683786.550903216
904,Alagoas,Nordeste,2010-11-01,9349267.88,15661940.135826923
905,Sergipe,Nordeste,2010-11-01,5035761.05,8435932.001921514
906,Bahia,Nordeste,2010-11-01,40103520.66,67181617.62767012
907,Minas Gerais,Sudeste,2010-11-01,81654063.59,136787294.17191377
908,Espírito Santo,Sudeste,2010-11-01,12932631.55,21664808.810121134
909,Rio de Janeiro,Sudeste,2010-11-01,40201092.24,67345070.02464199
910,São Paulo,Sudeste,2010-11-01,181353764.08,303804729.1921043
911,Paraná,Sul,2010-11-01,61194456.47,102513258.38335124
912,Santa Catarina,Sul,2010-11-01,30936482.03,51824948.839410655
913,Rio Grande do Sul,Sul,2010-11-01,54165343.06,90738052.57596792
914,Mato Grosso do Sul,Centro-Oeste,2010-11-01,9647507.47,16161552.582990386
915,Mato Grosso,Centro-Oeste,2010-11-01,9103813.09,15250753.04862668
916,Goiás,Centro-Oeste,2010-11-01,19443608.13,32572029.21824266
917,Distrito Federal,Centro-Oeste,2010-11-01,11182148.69,18732391.201170225
918,Rondônia,Norte,2010-12-01,3511967.18,5846428.816196741
919,Acre,Norte,2010-12-01,1895006.42,3154647.9716151054
920,Amazonas,Norte,2010-12-01,7139285.35,11884884.2993149
921,Roraima,Norte,2010-12-01,1104806.07,1839188.6122230426
922,Pará,Norte,2010-12-01,20401706.94,33963052.96725951
923,Amapá,Norte,2010-12-01,1078526.85,1795441.1677850303
924,Tocantins,Norte,2010-12-01,4922838.76,8195129.654928673
925,Maranhão,Nordeste,2010-12-01,14359995.97,23905318.568346377
926,Piauí,Nordeste,2010-12-01,8931706.28,14868756.5392332
927,Ceará,Nordeste,2010-12-01,25941220.39,43184770.996466555
928,Rio Grande do Norte,Nordeste,2010-12-01,9863755.88,16420354.649430988
929,Paraíba,Nordeste,2010-12-01,11724914.76,19518656.071357273
930,Pernambuco,Nordeste,2010-12-01,29670807.84,49393475.81135771
931,Alagoas,Nordeste,2010-12-01,8410272.62,14000717.454779418
932,Sergipe,Nordeste,2010-12-01,4867761.43,8103441.528950464
933,Bahia,Nordeste,2010-12-01,39004334.46,64931149.19813103
934,Minas Gerais,Sudeste,2010-12-01,80102001.18,133347102.615514
935,Espírito Santo,Sudeste,2010-12-01,12175083.01,20268058.470082667
936,Rio de Janeiro,Sudeste,2010-12-01,41045689.02,68329425.29581901
937,São Paulo,Sudeste,2010-12-01,169870616.84,282786375.3893313
938,Paraná,Sul,2010-12-01,56669179.35,94338103.45063113
939,Santa Catarina,Sul,2010-12-01,28092589.81,46766190.6187799
940,Rio Grande do Sul,Sul,2010-12-01,50396254.49,83895463.5329822
941,Mato Grosso do Sul,Centro-Oeste,2010-12-01,8777631.82,14612266.282742836
942,Mato Grosso,Centro-Oeste,2010-12-01,8943575.84,14888515.988585338
943,Goiás,Centro-Oeste,2010-12-01,19446813.41,32373426.195692748
944,Distrito Federal,Centro-Oeste,2010-12-01,9611083.6,15999727.000272224
945,Rondônia,Norte,2011-01-01,3350502.87,5531716.192835663
946,Acre,Norte,2011-01-01,2089815.15,3450307.2385931998
947,Amazonas,Norte,2011-01-01,7484141.0,12356397.103807075
948,Roraima,Norte,2011-01-01,1204872.32,1989257.129883752
949,Pará,Norte,2011-01-01,21802871.74,35996775.21078412
950,Amapá,Norte,2011-01-01,1344226.91,2219333.0533969807
951,Tocantins,Norte,2011-01-01,5360961.03,8851004.189353809
952,Maranhão,Nordeste,2011-01-01,16098617.21,26578989.769025296
953,Piauí,Nordeste,2011-01-01,11631415.18,19203591.279657833
954,Ceará,Nordeste,2011-01-01,27009159.85,44592412.74941271
955,Rio Grande do Norte,Nordeste,2011-01-01,9782290.6,16150666.755000899
956,Paraíba,Nordeste,2011-01-01,11808720.79,19496324.744445942
957,Pernambuco,Nordeste,2011-01-01,32215560.67,53188236.373460785
958,Alagoas,Nordeste,2011-01-01,8438837.99,13932612.079212982
959,Sergipe,Nordeste,2011-01-01,5249933.21,8667696.067087002
960,Bahia,Nordeste,2011-01-01,42172074.21,69626547.07199946
961,Minas Gerais,Sudeste,2011-01-01,86664133.83,143083414.95182425
962,Espírito Santo,Sudeste,2011-01-01,12504502.89,20645068.458029214
963,Rio de Janeiro,Sudeste,2011-01-01,61030636.92,100762236.47868061
964,São Paulo,Sudeste,2011-01-01,183804774.22,303463654.6582863
965,Paraná,Sul,2011-01-01,59777144.31,98692706.72825935
966,Santa Catarina,Sul,2011-01-01,31257564.89,51606575.06036534
967,Rio Grande do Sul,Sul,2011-01-01,54402442.22,89819015.90138932
968,Mato Grosso do Sul,Centro-Oeste,2011-01-01,9271112.56,15306706.325475885
969,Mato Grosso,Centro-Oeste,2011-01-01,9333134.97,15409105.989952426
970,Goiás,Centro-Oeste,2011-01-01,20757589.4,34271002.850450896
971,Distrito Federal,Centro-Oeste,2011-01-01,11298447.27,18653857.68714739
972,Rondônia,Norte,2011-02-01,3419732.11,5601203.669179084
973,Acre,Norte,2011-02-01,1869187.34,3061555.3062111326
974,Amazonas,Norte,2011-02-01,7225528.91,11834745.453921402
975,Roraima,Norte,2011-02-01,929763.92,1522866.9710547382
976,Pará,Norte,2011-02-01,20377733.65,33376835.617084075
977,Amapá,Norte,2011-02-01,1212784.9,1986429.0573933253
978,Tocantins,Norte,2011-02-01,5086975.68,8331993.830897111
979,Maranhão,Nordeste,2011-02-01,15713511.02,25737272.028863676
980,Piauí,Nordeste,2011-02-01,9637302.98,15785007.44392125
981,Ceará,Nordeste,2011-02-01,27117647.22,44416188.234161995
982,Rio Grande do Norte,Nordeste,2011-02-01,10724663.37,17566002.799779106
983,Paraíba,Nordeste,2011-02-01,12368828.6,20258992.7834339
984,Pernambuco,Nordeste,2011-02-01,29187357.99,47806182.29982682
985,Alagoas,Nordeste,2011-02-01,9107093.65,14916573.792073302
986,Sergipe,Nordeste,2011-02-01,4607984.98,7547451.539266364
987,Bahia,Nordeste,2011-02-01,39568922.88,64810221.64654886
988,Minas Gerais,Sudeste,2011-02-01,82438891.23,135027249.26618052
989,Espírito Santo,Sudeste,2011-02-01,12212230.63,20002499.84891863
990,Rio de Janeiro,Sudeste,2011-02-01,49651716.63,81324901.60727711
991,São Paulo,Sudeste,2011-02-01,177256643.15,290329922.94772106
992,Paraná,Sul,2011-02-01,56946442.56,93272985.35491657
993,Santa Catarina,Sul,2011-02-01,29900901.83,48974900.85618419
994,Rio Grande do Sul,Sul,2011-02-01,50011949.75,81914930.00967844
995,Mato Grosso do Sul,Centro-Oeste,2011-02-01,9181904.7,15039107.345660672
996,Mato Grosso,Centro-Oeste,2011-02-01,8590465.22,14070384.393419433
997,Goiás,Centro-Oeste,2011-02-01,20473584.87,33533831.015521675
998,Distrito Federal,Centro-Oeste,2011-02-01,10464465.98,17139823.63465766
999,Rondônia,Norte,2011-03-01,3740663.17,6078837.589326514
1000,Acre,Norte,2011-03-01,2122686.72,3449513.425155627
1001,Amazonas,Norte,2011-03-01,8442447.01,13719563.05552238
1002,Roraima,Norte,2011-03-01,991529.89,1611304.972501115
1003,Pará,Norte,2011-03-01,22769590.65,37002167.0614084
1004,Amapá,Norte,2011-03-01,1393683.44,2264832.4368360285
1005,Tocantins,Norte,2011-03-01,5713032.94,9284075.525231684
1006,Maranhão,Nordeste,2011-03-01,16556666.58,26905733.712573234
1007,Piauí,Nordeste,2011-03-01,10292342.18,16725771.255687475
1008,Ceará,Nordeste,2011-03-01,29451757.07,47861151.8365683
1009,Rio Grande do Norte,Nordeste,2011-03-01,11608812.86,18865127.592021342
1010,Paraíba,Nordeste,2011-03-01,12924755.86,21003626.411686815
1011,Pernambuco,Nordeste,2011-03-01,32443730.69,52723316.88082951
1012,Alagoas,Nordeste,2011-03-01,10134676.85,16469554.138299286
1013,Sergipe,Nordeste,2011-03-01,5022295.23,8161578.747230334
1014,Bahia,Nordeste,2011-03-01,42692147.44,69377706.26039599
1015,Minas Gerais,Sudeste,2011-03-01,89003839.94,144637424.76489067
1016,Espírito Santo,Sudeste,2011-03-01,13778349.42,22390775.26276475
1017,Rio de Janeiro,Sudeste,2011-03-01,44037906.26,71564657.85945794
1018,São Paulo,Sudeste,2011-03-01,193508010.11,314463963.2689631
1019,Paraná,Sul,2011-03-01,61552231.11,100026652.80829892
1020,Santa Catarina,Sul,2011-03-01,32814315.12,53325542.331431404
1021,Rio Grande do Sul,Sul,2011-03-01,56382801.96,91625971.21675637
1022,Mato Grosso do Sul,Centro-Oeste,2011-03-01,10404518.36,16908065.343292017
1023,Mato Grosso,Centro-Oeste,2011-03-01,9791371.06,15911658.373285664
1024,Goiás,Centro-Oeste,2011-03-01,24319281.05,39520521.64914276
1025,Distrito Federal,Centro-Oeste,2011-03-01,11689812.77,18996758.074441943
1026,Rondônia,Norte,2011-04-01,4080915.85,6581094.839140273
1027,Acre,Norte,2011-04-01,2022542.64,3261656.309341723
1028,Amazonas,Norte,2011-04-01,8150433.0,13143807.5482636
1029,Roraima,Norte,2011-04-01,1063516.18,1715080.9036016208
1030,Pará,Norte,2011-04-01,21230788.74,34237862.12295737
1031,Amapá,Norte,2011-04-01,1452880.84,2342990.384869069
1032,Tocantins,Norte,2011-04-01,5391455.63,8694538.70803211
1033,Maranhão,Nordeste,2011-04-01,15945810.99,25715035.121882074
1034,Piauí,Nordeste,2011-04-01,9872515.09,15920925.717724236
1035,Ceará,Nordeste,2011-04-01,27808693.38,44845729.54042957
1036,Rio Grande do Norte,Nordeste,2011-04-01,10734416.68,17310872.5615916
1037,Paraíba,Nordeste,2011-04-01,11841791.36,19096681.93855844
1038,Pernambuco,Nordeste,2011-04-01,31950919.83,51525697.007204294
1039,Alagoas,Nordeste,2011-04-01,9383364.62,15132096.50585013
1040,Sergipe,Nordeste,2011-04-01,5184372.86,8360586.379923736
1041,Bahia,Nordeste,2011-04-01,42381546.46,68346662.10593136
1042,Minas Gerais,Sudeste,2011-04-01,85034711.16,137131349.7588684
1043,Espírito Santo,Sudeste,2011-04-01,12824684.5,20681745.98026868
1044,Rio de Janeiro,Sudeste,2011-04-01,44581483.51,71894393.76675168
1045,São Paulo,Sudeste,2011-04-01,184290023.57,297195572.66086876
1046,Paraná,Sul,2011-04-01,59500662.76,95953829.73046646
1047,Santa Catarina,Sul,2011-04-01,31468059.22,50747011.14714298
1048,Rio Grande do Sul,Sul,2011-04-01,54039667.61,87147148.01507773
1049,Mato Grosso do Sul,Centro-Oeste,2011-04-01,9882916.31,15937699.260178626
1050,Mato Grosso,Centro-Oeste,2011-04-01,9415130.52,15183323.83036128
1051,Goiás,Centro-Oeste,2011-04-01,21600875.81,34834683.57087073
1052,Distrito Federal,Centro-Oeste,2011-04-01,11418019.14,18413285.05596577
1053,Rondônia,Norte,2011-05-01,3755186.49,6027469.822246711
1054,Acre,Norte,2011-05-01,2367073.38,3799402.081091722
1055,Amazonas,Norte,2011-05-01,7796345.89,12513956.284438
1056,Roraima,Norte,2011-05-01,1251245.73,2008381.1810342488
1057,Pará,Norte,2011-05-01,21530106.47,34558088.4899497
1058,Amapá,Norte,2011-05-01,1384085.74,2221603.3881321317
1059,Tocantins,Norte,2011-05-01,5586073.21,8966235.841495002
1060,Maranhão,Nordeste,2011-05-01,15767477.65,25308462.299118593
1061,Piauí,Nordeste,2011-05-01,9775680.58,15690996.930454236
1062,Ceará,Nordeste,2011-05-01,28856965.87,46318469.51042591
1063,Rio Grande do Norte,Nordeste,2011-05-01,11733602.1,18833667.18333092
1064,Paraíba,Nordeste,2011-05-01,12340089.39,19807143.160565592
1065,Pernambuco,Nordeste,2011-05-01,33553580.92,53857031.32512415
1066,Alagoas,Nordeste,2011-05-01,10678949.12,17140838.071695358
1067,Sergipe,Nordeste,2011-05-01,5442332.87,8735517.456696626
1068,Bahia,Nordeste,2011-05-01,43575449.44,69943185.82841869
1069,Minas Gerais,Sudeste,2011-05-01,92236171.17,148048769.27610514
1070,Espírito Santo,Sudeste,2011-05-01,13751515.17,22072630.192420308
1071,Rio de Janeiro,Sudeste,2011-05-01,47110168.8,75616782.68685625
1072,São Paulo,Sudeste,2011-05-01,200637438.34,322044220.1812553
1073,Paraná,Sul,2011-05-01,65148509.64,104570219.57901454
1074,Santa Catarina,Sul,2011-05-01,34192538.29,54882625.200590275
1075,Rio Grande do Sul,Sul,2011-05-01,58817068.0,94407588.9032698
1076,Mato Grosso do Sul,Centro-Oeste,2011-05-01,10469048.8,16803925.95085954
1077,Mato Grosso,Centro-Oeste,2011-05-01,9566396.46,15355073.875518167
1078,Goiás,Centro-Oeste,2011-05-01,22200105.82,35633508.01273616
1079,Distrito Federal,Centro-Oeste,2011-05-01,11504009.48,18465146.846951954
1080,Rondônia,Norte,2011-06-01,3737159.4,5989553.493048756
1081,Acre,Norte,2011-06-01,2069122.04,3316186.3907186217
1082,Amazonas,Norte,2011-06-01,7641552.07,12247132.111405915
1083,Roraima,Norte,2011-06-01,1352923.73,2168333.8026336404
1084,Pará,Norte,2011-06-01,20363058.04,32635917.379557468
1085,Amapá,Norte,2011-06-01,1221987.16,1958481.4773056589
1086,Tocantins,Norte,2011-06-01,5453969.32,8741088.483297436
1087,Maranhão,Nordeste,2011-06-01,15181794.15,24331894.481642846
1088,Piauí,Nordeste,2011-06-01,9397383.93,15061207.649706285
1089,Ceará,Nordeste,2011-06-01,27818612.35,44584950.4767476
1090,Rio Grande do Norte,Nordeste,2011-06-01,11235916.88,18007828.404699434
1091,Paraíba,Nordeste,2011-06-01,11574964.92,18551221.435324065
1092,Pernambuco,Nordeste,2011-06-01,31270825.34,50117819.73916194
1093,Alagoas,Nordeste,2011-06-01,10035230.04,16083484.996553749
1094,Sergipe,Nordeste,2011-06-01,4894474.85,7844385.48017427
1095,Bahia,Nordeste,2011-06-01,40624694.05,65109285.451194435
1096,Minas Gerais,Sudeste,2011-06-01,88178737.95,141324254.96783826
1097,Espírito Santo,Sudeste,2011-06-01,13771741.79,22072000.49953985
1098,Rio de Janeiro,Sudeste,2011-06-01,43963241.51,70459982.72162718
1099,São Paulo,Sudeste,2011-06-01,189639686.03,303935936.9797435
1100,Paraná,Sul,2011-06-01,59807554.5,95853697.58811435
1101,Santa Catarina,Sul,2011-06-01,32915567.27,52753851.20519875
1102,Rio Grande do Sul,Sul,2011-06-01,57882657.29,92768660.64590758
1103,Mato Grosso do Sul,Centro-Oeste,2011-06-01,10133928.11,16241668.607861757
1104,Mato Grosso,Centro-Oeste,2011-06-01,9350686.15,14986365.01620325
1105,Goiás,Centro-Oeste,2011-06-01,21063519.75,33758548.884619154
1106,Distrito Federal,Centro-Oeste,2011-06-01,11209258.32,17965102.67264539
1107,Rondônia,Norte,2011-07-01,3440358.34,5505063.809719807
1108,Acre,Norte,2011-07-01,2147502.58,3436310.2811080767
1109,Amazonas,Norte,2011-07-01,7676616.98,12283681.564891454
1110,Roraima,Norte,2011-07-01,1241116.84,1985963.8805874533
1111,Pará,Norte,2011-07-01,19713625.68,31544611.50966356
1112,Amapá,Norte,2011-07-01,1278036.1,2045039.959885529
1113,Tocantins,Norte,2011-07-01,5091288.75,8146787.8263107315
1114,Maranhão,Nordeste,2011-07-01,15499086.29,24800747.65084018
1115,Piauí,Nordeste,2011-07-01,9201284.53,14723367.005146831
1116,Ceará,Nordeste,2011-07-01,27129501.4,43411069.88665687
1117,Rio Grande do Norte,Nordeste,2011-07-01,11474359.58,18360611.1401668
1118,Paraíba,Nordeste,2011-07-01,11541332.57,18467777.471996564
1119,Pernambuco,Nordeste,2011-07-01,33607883.49,53777404.804314315
1120,Alagoas,Nordeste,2011-07-01,9475941.59,15162857.456914725
1121,Sergipe,Nordeste,2011-07-01,5036521.26,8059152.034526264
1122,Bahia,Nordeste,2011-07-01,43039856.61,68869906.4409787
1123,Minas Gerais,Sudeste,2011-07-01,88140646.06,141037599.23747614
1124,Espírito Santo,Sudeste,2011-07-01,13601585.57,21764475.986595675
1125,Rio de Janeiro,Sudeste,2011-07-01,43546898.09,69681245.09402576
1126,São Paulo,Sudeste,2011-07-01,192817689.53,308535791.79934865
1127,Paraná,Sul,2011-07-01,61354648.18,98176183.9535033
1128,Santa Catarina,Sul,2011-07-01,33559792.34,53700452.10832486
1129,Rio Grande do Sul,Sul,2011-07-01,57952453.04,92732186.70442063
1130,Mato Grosso do Sul,Centro-Oeste,2011-07-01,10199490.25,16320638.463743584
1131,Mato Grosso,Centro-Oeste,2011-07-01,9482068.55,15172661.46638881
1132,Goiás,Centro-Oeste,2011-07-01,21423945.27,34281366.68091814
1133,Distrito Federal,Centro-Oeste,2011-07-01,10868336.43,17390887.704055957
1134,Rondônia,Norte,2011-08-01,3779671.6,6025721.820320273
1135,Acre,Norte,2011-08-01,2240069.94,3571219.8690758008
1136,Amazonas,Norte,2011-08-01,7542257.53,12024204.899969585
1137,Roraima,Norte,2011-08-01,1220675.13,1946054.9869896858
1138,Pará,Norte,2011-08-01,21048384.96,33556278.41740882
1139,Amapá,Norte,2011-08-01,1388779.71,2214054.840681148
1140,Tocantins,Norte,2011-08-01,5602739.28,8932138.00189982
1141,Maranhão,Nordeste,2011-08-01,16676635.19,26586639.04925071
1142,Piauí,Nordeste,2011-08-01,9390104.72,14970125.686685687
1143,Ceará,Nordeste,2011-08-01,28898342.66,46071032.715502106
1144,Rio Grande do Norte,Nordeste,2011-08-01,11591186.6,18479189.043572977
1145,Paraíba,Nordeste,2011-08-01,12279518.7,19576558.919462956
1146,Pernambuco,Nordeste,2011-08-01,35405656.71,56445284.34698292
1147,Alagoas,Nordeste,2011-08-01,10423533.42,16617664.02502577
